name,lat,lon,date_bce,circle_pos,cluster,source,is_monumental,type
Cahuachi CAH88,-14.49,-75.07,-3405,111.04278616379008,Peru / Andes,p3k14c,True,radiocarbon
Cahuachi CAH88,-14.49,-75.07,-3799,111.04278616379008,Peru / Andes,p3k14c,True,radiocarbon
Cahuachi CAH88,-14.49,-75.07,-134,111.04278616379008,Peru / Andes,p3k14c,True,radiocarbon
Santa Clara,-14.44,-75.14,-134,111.08065467018713,Peru / Andes,p3k14c,False,radiocarbon
Mollake Chico PAP-436,-14.506394,-75.158227,-580,111.12639333061463,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2852,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-3012,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2795,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2720,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-876,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2784,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2700,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-927,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-972,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-932,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-983,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2861,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2839,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2973,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2724,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2776,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2642,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2859,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2844,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-1231,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-1330,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2648,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2820,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2734,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-905,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2654,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2698,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2709,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2849,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2600,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2670,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-1137,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-666,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-898,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2965,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2545,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-1076,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-3126,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-951,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-2795,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-3209,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pernil Alto PAP-266,-14.492267,-75.215905,-1030,111.16983615857953,Peru / Andes,p3k14c,False,radiocarbon
Pampa Media Luna,-14.29,-75.38,-155,111.22043018765322,Peru / Andes,p3k14c,False,radiocarbon
Erizo,-14.27,-75.4,-2034,111.22871502736075,Peru / Andes,p3k14c,False,radiocarbon
Erizo,-14.27,-75.4,-1961,111.22871502736075,Peru / Andes,p3k14c,False,radiocarbon
Erizo,-14.27,-75.4,-1152,111.22871502736075,Peru / Andes,p3k14c,False,radiocarbon
Callango West Bank,-14.491641,-75.647654,-606,111.54272030876513,Peru / Andes,p3k14c,False,radiocarbon
Callango West Bank,-14.491641,-75.647654,-449,111.54272030876513,Peru / Andes,p3k14c,False,radiocarbon
Callango West Bank,-14.491641,-75.647654,-606,111.54272030876513,Peru / Andes,p3k14c,False,radiocarbon
Callango West Bank,-14.491641,-75.647654,-617,111.54272030876513,Peru / Andes,p3k14c,False,radiocarbon
Callango West Bank,-14.491641,-75.647654,-774,111.54272030876513,Peru / Andes,p3k14c,False,radiocarbon
Callango West Bank,-14.491641,-75.647654,-533,111.54272030876513,Peru / Andes,p3k14c,False,radiocarbon
El Abrigo,-14.904,-75.525,-7342,111.62234175782669,Peru / Andes,p3k14c,False,radiocarbon
Boca Rio Ica/La Yerba,-14.867,-75.567,-3664,111.64193007983852,Peru / Andes,p3k14c,False,radiocarbon
La Paloma,-14.867,-75.567,-3095,111.64193007983852,Peru / Andes,p3k14c,False,radiocarbon
La Paloma,-14.867,-75.567,-4723,111.64193007983852,Peru / Andes,p3k14c,False,radiocarbon
Sada,20.013925,93.330422,-30,303.41191211608725,Other,pleiades,False,settlement
Tamalites,22.290418,87.915951,-30,308.94773176569754,Other,pleiades,False,settlement
Kambouson Stoma,22.5,87.5,-30,309.3823017115383,Other,pleiades,False,unknown
Maleus (mountain),22.5,87.5,-330,309.3823017115383,Other,pleiades,False,mountain
Dosaron (river),22.5,87.5,-30,309.3823017115383,Other,pleiades,False,river
Bamanghati,22.270096,86.319292,-30,310.31782511274946,Other,pleiades,False,settlement
Adamas? (river),22.6508751072,86.3759104392,-30,310.4048504442612,Other,pleiades,False,river
Suari/Uberae,22.5017740808,86.0140054332,-30,310.6640623703986,Other,pleiades,False,label
Charmae,25.2111683915,78.4973909546,-30,318.04590015731117,Indus Valley,pleiades,False,"label, people"
Mālavas,25.8437911088,74.8753685174,-30,321.3565322588529,Indus Valley,pleiades,False,"label, people"
Oratae,26.6039604143,74.2401288249,-30,322.11432290605535,Indus Valley,pleiades,False,"label, people"
Sarabastrae,26.3805350875,72.6838052083,-30,323.3962081917251,Indus Valley,pleiades,False,"label, people"
Mousikanoi,27.7370217023,68.9831830814,-330,326.92520343496074,Indus Valley,pleiades,False,"label, people"
