epoch,gc_pole_ra,gc_pole_dec,mutual_inclination_deg
-3300,257.612,44.487,53.82
-3200,256.903,44.624,53.31
-3100,256.194,44.767,52.79
-3000,255.486,44.917,52.29
-2900,254.778,45.073,51.78
-2800,254.072,45.235,51.28
-2700,253.366,45.404,50.78
-2600,252.66,45.578,50.28
-2500,251.956,45.76,49.79
-2400,251.252,45.947,49.3
-2300,250.549,46.14,48.82
-2200,249.847,46.34,48.35
-2100,249.146,46.546,47.88
-2000,248.446,46.758,47.41
-1900,247.746,46.975,46.95
-1800,247.048,47.199,46.5
-1700,246.351,47.429,46.05
-1600,245.654,47.665,45.61
-1500,244.959,47.906,45.18
-1400,244.264,48.153,44.76
-1300,243.571,48.406,44.35
-1200,242.879,48.665,43.94
-1100,242.187,48.93,43.54
-1000,241.497,49.2,43.16
-900,240.808,49.476,42.78
-800,240.12,49.757,42.42
-700,239.433,50.044,42.06
-600,238.748,50.336,41.72
-500,238.063,50.634,41.39
-400,237.38,50.937,41.07
-300,236.698,51.245,40.76
-200,236.017,51.559,40.47
-100,235.337,51.877,40.19
0,234.659,52.201,39.92
100,233.981,52.53,39.67
200,233.305,52.864,39.43
300,232.63,53.204,39.21
400,231.957,53.548,39.0
500,231.284,53.897,38.81
600,230.613,54.25,38.63
700,229.943,54.609,38.47
800,229.275,54.972,38.33
900,228.608,55.34,38.2
1000,227.942,55.713,38.09
1100,227.277,56.09,38.0
1200,226.614,56.472,37.92
1300,225.952,56.858,37.87
1400,225.291,57.249,37.83
1500,224.631,57.644,37.8
1600,223.973,58.043,37.8
1700,223.316,58.447,37.81
1800,222.661,58.854,37.84
1900,222.007,59.266,37.89
2000,221.354,59.682,37.96
2100,220.702,60.102,38.04
2200,220.052,60.526,38.14
2300,219.404,60.954,38.26
2400,218.756,61.385,38.4
2500,218.11,61.82,38.55
2600,217.466,62.26,38.72
2700,216.823,62.702,38.91
2800,216.181,63.149,39.11
2900,215.541,63.598,39.33
3000,214.902,64.052,39.56
