epoch,ra,dec,celestial_pole_ra,celestial_pole_dec
-7200,285.348,44.329,241.625,46.778
-7100,284.645,44.206,240.903,47.068
-7000,283.942,44.089,240.182,47.364
-6900,283.237,43.98,239.462,47.665
-6800,282.532,43.877,238.743,47.972
-6700,281.826,43.78,238.026,48.285
-6600,281.118,43.69,237.31,48.604
-6500,280.41,43.607,236.595,48.928
-6400,279.702,43.531,235.882,49.258
-6300,278.992,43.461,235.17,49.593
-6200,278.283,43.398,234.459,49.934
-6100,277.572,43.342,233.75,50.28
-6000,276.861,43.292,233.042,50.631
-5900,276.149,43.249,232.335,50.988
-5800,275.437,43.213,231.63,51.349
-5700,274.725,43.183,230.926,51.716
-5600,274.012,43.161,230.223,52.088
-5500,273.299,43.145,229.522,52.465
-5400,272.585,43.135,228.822,52.846
-5300,271.872,43.133,228.124,53.233
-5200,271.158,43.137,227.426,53.624
-5100,270.444,43.148,226.731,54.021
-5000,269.73,43.166,226.036,54.421
-4900,269.015,43.19,225.344,54.827
-4800,268.301,43.221,224.652,55.237
-4700,267.587,43.259,223.962,55.651
-4600,266.873,43.304,223.273,56.07
-4500,266.159,43.355,222.585,56.493
-4400,265.445,43.413,221.899,56.92
-4300,264.731,43.478,221.214,57.352
-4200,264.018,43.549,220.531,57.788
-4100,263.304,43.627,219.849,58.228
-4000,262.591,43.711,219.168,58.671
-3900,261.879,43.803,218.488,59.119
-3800,261.167,43.9,217.81,59.571
-3700,260.455,44.005,217.133,60.026
-3600,259.743,44.115,216.457,60.485
-3500,259.032,44.233,215.783,60.948
-3400,258.322,44.357,215.11,61.415
-3300,257.612,44.487,214.438,61.884
-3200,256.903,44.624,213.767,62.358
-3100,256.194,44.767,213.097,62.835
-3000,255.486,44.917,212.429,63.315
-2900,254.778,45.073,211.762,63.798
-2800,254.072,45.235,211.096,64.284
-2700,253.366,45.404,210.431,64.774
-2600,252.66,45.578,209.767,65.267
-2500,251.956,45.76,209.104,65.762
-2400,251.252,45.947,208.442,66.261
-2300,250.549,46.14,207.781,66.762
-2200,249.847,46.34,207.122,67.266
-2100,249.146,46.546,206.463,67.773
-2000,248.446,46.758,205.805,68.282
-1900,247.746,46.975,205.148,68.794
-1800,247.048,47.199,204.493,69.308
-1700,246.351,47.429,203.838,69.825
-1600,245.654,47.665,203.184,70.344
-1500,244.959,47.906,202.53,70.865
-1400,244.264,48.153,201.878,71.389
-1300,243.571,48.406,201.226,71.915
-1200,242.879,48.665,200.576,72.442
-1100,242.187,48.93,199.926,72.972
-1000,241.497,49.2,199.276,73.504
-900,240.808,49.476,198.628,74.037
-800,240.12,49.757,197.98,74.573
-700,239.433,50.044,197.333,75.11
-600,238.748,50.336,196.686,75.648
-500,238.063,50.634,196.04,76.189
-400,237.38,50.937,195.394,76.73
-300,236.698,51.245,194.749,77.273
-200,236.017,51.559,194.105,77.818
