name,lat,lon,type
"Deserted medieval village at Colemore",51.071132,-0.995490,scheduled_monument
"Linear earthwork known as the Festaen Dic",51.320318,-0.858293,scheduled_monument
"Fort Grange",50.798649,-1.163404,scheduled_monument
"Fort Southwick See also HAMPSHIRE 500",50.857651,-1.108800,scheduled_monument
"Pumping station",51.020919,-1.298849,scheduled_monument
"Gunboat Traverser System",50.787085,-1.126669,scheduled_monument
"Former Board of Ordnance Gunwharf, HMS Vernon",50.793719,-1.106157,scheduled_monument
"'The Battery'",51.209814,-0.915185,scheduled_monument
"'Banjo type' native settlement",51.109142,-1.241120,scheduled_monument
"Iron Age settlement",51.131245,-1.253734,scheduled_monument
"Settlement W of West Stoke Farm",51.132123,-1.328894,scheduled_monument
"Anglo-Saxon cemetery in Worthy Park",51.093144,-1.288133,scheduled_monument
"Funtley ironworks, site of",50.870586,-1.219816,scheduled_monument
"Old wall and Jacobean monument in Hyde Close",51.067816,-1.315895,scheduled_monument
"Deserted medieval town of Newtown",51.370942,-1.316575,scheduled_monument
"Foxcott deserted medieval village",51.223346,-1.509974,scheduled_monument
"Roman villa SW of Wyck Place",51.148591,-0.916720,scheduled_monument
"Settlement site W of Bazeley Copse",51.132060,-1.280461,scheduled_monument
"Enclosures S of the Cowleys",51.161382,-1.190725,scheduled_monument
"Late Iron Age settlement site N of Grace's Farm",51.100300,-1.277683,scheduled_monument
"Enclosure S of Marsh Court",51.097489,-1.492012,scheduled_monument
"Length of Roman road in Bradley Wood",51.265054,-1.346654,scheduled_monument
"Round barrow on Rabbit Warren",51.308152,-1.367920,scheduled_monument
"No. 5 Battery, Stokes Bay Lines",50.779104,-1.143101,scheduled_monument
"Eastney forts and perimeter defences of barracks",50.784357,-1.054700,scheduled_monument
"Vault under Head Post Office",50.898817,-1.403622,scheduled_monument
"Castle Gateway, Castle Lane",50.901306,-1.404970,scheduled_monument
"Three round barrows near Bulls Bushes Farm",51.235599,-1.182449,scheduled_monument
"White Barrow",51.256894,-1.158655,scheduled_monument
"Iron Age settlement 400m SE of Battle Down Farm",51.248716,-1.146884,scheduled_monument
"The Grange",51.122246,-1.198311,scheduled_monument
"Cuckoo's Corner Roman site, Neatham",51.166539,-0.944276,scheduled_monument
"Roman site 400yds (370m) S of Fairthorn",50.903763,-1.260519,scheduled_monument
"Roman villa 500yds (460m) SW of Clanville House",51.239075,-1.550761,scheduled_monument
"Beach Barrow",51.078471,-1.544666,scheduled_monument
"Fort Elson",50.822489,-1.150953,scheduled_monument
"Fort Purbrook, including covered-way to east",50.853683,-1.036152,scheduled_monument
"Vault S of junction of High Street and Castle Way",50.897931,-1.404288,scheduled_monument
"Fort Monckton",50.777023,-1.135182,scheduled_monument
"Earthwork in Great Park",51.196366,-1.006895,scheduled_monument
"Earthworks in Danegrove Copse",51.287904,-1.368327,scheduled_monument
"Vault adjoining St Michael's Church",50.899618,-1.405418,scheduled_monument
"Roman villa in Bottom Copse",50.936580,-1.112459,scheduled_monument
"Bastion No 1, Gosport Lines",50.791862,-1.119770,scheduled_monument
"A length of the Gosport Lines west of Weevil Lane",50.798562,-1.128101,scheduled_monument
"Portsmouth Dockyard, the Block Mills and Stores 35 and 36",50.803501,-1.109305,scheduled_monument
"Portsmouth Dockyard, the Docks",50.801798,-1.110090,scheduled_monument
"Section of Roman road 250yds (230m) long SW of Titlark Farm",50.975845,-1.394532,scheduled_monument
"Roman villa N of Bighton Wood",51.123420,-1.111927,scheduled_monument
"Fort Fareham",50.840859,-1.188540,scheduled_monument
"Roman site NW of Woodgarston Farm",51.298536,-1.169886,scheduled_monument
"Round barrow S of Down Farm",51.156340,-1.124909,scheduled_monument
"Roman villa and section of Roman road south-west of Littlepark Wood",50.860020,-1.018460,scheduled_monument
"Fort Nelson",50.861168,-1.138955,scheduled_monument
"Hilsea Lines",50.834485,-1.060533,scheduled_monument
"Fort Widley",50.854511,-1.068285,scheduled_monument
"Vault under St Michael's Parish Hall, St Michael's Square",50.899826,-1.405586,scheduled_monument
"Vault under 8 St Michael's Square",50.899826,-1.405714,scheduled_monument
"Mound at Cudbury Clump, Eversley Upper Common",51.339192,-0.907325,scheduled_monument
"Deserted village of Abbotstone",51.106392,-1.190443,scheduled_monument
"Alice Holt Forest, Romano-British kiln sites",51.154678,-0.841580,scheduled_monument
"Winchester city wall and associated monuments",51.065913,-1.314824,scheduled_monument
"Southsea Castle",50.778136,-1.088923,scheduled_monument
"Point Battery including King Edward's Tower and Square Tower",50.789879,-1.107237,scheduled_monument
"Site of fortified manor",51.209440,-1.588184,scheduled_monument
"St Denys Priory (remains of)",50.925155,-1.380820,scheduled_monument
"Fort Blockhouse",50.789449,-1.113431,scheduled_monument
"Site of Norman town house in curtilage of St Michael's House",50.899686,-1.406455,scheduled_monument
"John of Gaunt's Palace",51.076033,-1.487693,scheduled_monument
"Roman buildings on Lambourne's Hill",51.251217,-1.578068,scheduled_monument
"Vault SW of Gloucester Square",50.897235,-1.403770,scheduled_monument
"Earthwork on Farther Commons",51.032432,-0.884804,scheduled_monument
"Roman villa at Lodge Farm, North Warnborough",51.268160,-0.946264,scheduled_monument
"Bramdean Roman villa",51.049146,-1.106358,scheduled_monument
"Holy Rood Church",50.899697,-1.403341,scheduled_monument
"Deserted village (site of)",51.076558,-1.522531,scheduled_monument
"Selborne Priory",51.105239,-0.921705,scheduled_monument
"Netley Castle",50.877345,-1.359806,scheduled_monument
"Castle Hill",50.950067,-1.423609,scheduled_monument
"Four round barrows in 'Hump Field' S of Stakes Lane",50.985386,-1.181992,scheduled_monument
"'King John's Palace'",50.899534,-1.406670,scheduled_monument
"Castle wall",50.901606,-1.405478,scheduled_monument
"Castle (part of)",50.900891,-1.406355,scheduled_monument
"Twyford Roman villa",51.017033,-1.312251,scheduled_monument
"West Dean Roman villa See also WILTSHIRE 921",51.042752,-1.633481,scheduled_monument
"Lankasters vault, High Street",50.900124,-1.404075,scheduled_monument
"The Weigh House, French Street",50.897944,-1.405141,scheduled_monument
"Conduit head, Commercial Road",50.909020,-1.409949,scheduled_monument
"Vaults on the W side of French Street",50.898853,-1.405257,scheduled_monument
"Quilter's and adjoining vaults in High Street",50.897059,-1.404413,scheduled_monument
"Vault in High Street opposite Gloucester Square",50.897409,-1.404294,scheduled_monument
"Vault on N side of St Michael's Square",50.899834,-1.405486,scheduled_monument
"Conduit head, Hill Lane",50.911177,-1.415114,scheduled_monument
"Three barrows SW of Newton Down Farm",51.147617,-1.403682,scheduled_monument
"Roman house 1/2 mile (810m) E of Finkley Farm",51.232933,-1.430825,scheduled_monument
"Southwick Priory",50.871693,-1.107111,scheduled_monument
"Corhampton British village on Corhampton Down",50.978114,-1.183616,scheduled_monument
"Portsmouth Garrison church",50.788999,-1.103878,scheduled_monument
"Roman villa at Stroud, site near Petersfield",51.006990,-0.967799,scheduled_monument
"Earthwork 1/2 mile (810m) NW of Larkwhistle Farm",51.128801,-1.353693,scheduled_monument
"Worthy Down ditch",51.110704,-1.344903,scheduled_monument
"Roman villa in Cow Down Copse",51.068777,-1.409662,scheduled_monument
"St Peter's Church, Lainston House",51.081940,-1.369779,scheduled_monument
"Alresford Drive earthworks, Avington",51.074736,-1.249205,scheduled_monument
"Egbury camp",51.263721,-1.372557,scheduled_monument
"Powderham Castle",51.215409,-0.852213,scheduled_monument
"Warblington Castle",50.844954,-0.965994,scheduled_monument
"Cutthorn",50.935857,-1.405369,scheduled_monument
