name,lat,lon,source,type_raw,subtype,date_bp,gc_distance_km,cluster
Troikon Oros,29.933268,31.316658,pleiades,quarry,utilitarian,2280,0.1,Egypt / Levant
Majdabad,29.863774,52.692366,pleiades,quarry,utilitarian,2500,3.9,Iran / Persia
Saqqara Serapeum,29.871,31.215,curated,artificial_complex,artificial_complex,3350,6.1,Egypt / Levant
Osiris Shaft (Giza),29.976,31.131,curated,rock_cut_monumental,rock_cut_monumental,4500,6.2,Egypt / Levant
"Subterranean Chamber, Great Pyramid",29.9792,31.1342,curated,rock_cut_monumental,rock_cut_monumental,4550,6.5,Egypt / Levant
"Ibis Catacombs, Saqqara",29.868,31.217,curated,artificial_complex,artificial_complex,2500,6.5,Egypt / Levant
Ana Te Pahu (lava tube complex),-27.1,-109.4,curated,natural_cave,natural_cave,700,7.3,Easter Island
Troikon Oros,30.0,31.266667,pleiades,"mountain, quarry",utilitarian,2280,7.7,Egypt / Levant
Wadi Masoudah - David Roberts Rock,30.275998,35.317682,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,10.7,Egypt / Levant
Gur-i Shapur,29.8076618,51.6118028,pleiades,"sanctuary, cave",natural_cave,1980,12.1,Iran / Persia
Persepolis drainage tunnels,29.935,52.891,curated,utilitarian,utilitarian,2500,13.7,Iran / Persia
Siwa Mountain Of The Dead,29.21162,25.32452,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,13.9,Egypt / Levant
Aquarium Grotto Garden,30.056629,31.218705,wikidata,megalithic_monument,natural_cave,,14.4,Egypt / Levant
Ana Kai Tangata (painted cave),-27.175,-109.435,curated,modified_cave,modified_cave,500,14.6,Easter Island
Petra (rock-cut city),30.329,35.444,curated,rock_cut_monumental,rock_cut_monumental,2350,16.0,Egypt / Levant
Naqsh-i Rajab,29.966486,52.887043,pleiades,"sanctuary, monument",rock_cut_monumental,1980,17.2,Iran / Persia
Nazca puquio (Ocongalla),-14.81,-75.145,curated,utilitarian,utilitarian,1500,18.5,Peru / Andes
Naqsh-e Rostam (rock-cut tombs),29.988,52.874,curated,rock_cut_monumental,rock_cut_monumental,2500,19.4,Iran / Persia
Nazca puquio (Cantalloc),-14.828,-75.119,curated,utilitarian,utilitarian,1500,21.6,Peru / Andes
Tal-i Gachi,30.055736,52.451302,pleiades,mine,utilitarian,2500,22.9,Iran / Persia
Sivand,30.079211,52.920871,pleiades,quarry,utilitarian,2500,30.0,Iran / Persia
Tikab Shelter Caves,29.635722222,51.677333333,wikidata,archaeological_site,natural_cave,,30.6,Iran / Persia
wadi 'Oded,30.512901,34.76548,megalithic_portal,Cave or Rock Shelter,natural_cave,,40.0,Egypt / Levant
Timnah,29.7625105,34.978762,pleiades,"valley, mine-2",utilitarian,2700,44.5,Egypt / Levant
Choquequirao Puquio,-13.511941944,-71.950536111,wikidata,archaeological_site,utilitarian,,47.9,Peru / Andes
Phaino,30.6273155001,35.4940120909,pleiades,"settlement, archaeological-site, mine-2",utilitarian,1980,48.9,Egypt / Levant
Choquepuquio,-13.619443888,-71.722221944,wikidata,archaeological_site,utilitarian,,69.9,Peru / Andes
Nestou Epoikion,29.25,30.75,pleiades,"unlocated, settlement",utilitarian,2280,70.8,Egypt / Levant
Untitled,30.5,52.5,pleiades,quarry,utilitarian,2500,72.5,Iran / Persia
Qanat-i Bagh,29.066671,51.900013,pleiades,temple,utilitarian,1980,91.6,Iran / Persia
Dalat Clay Tunnel,11.88274,108.41102,wikidata,megalithic_monument,natural_cave,,94.4,Southeast Asia
Ag. Lot,31.0468505,35.502753,pleiades,"cave, church",natural_cave,1650,95.4,Egypt / Levant
Wadi Umm Zerdal,29.12863,33.397711,pleiades,mine-2,utilitarian,1980,105.2,Egypt / Levant
Kalamine,30.947558,32.070497,pleiades,settlement,utilitarian,1980,106.1,Egypt / Levant
Nahal Hemar Cave,31.1392,35.2939,wikidata,archaeological_site,natural_cave,,106.7,Egypt / Levant
Nahal Hemar Cave,31.158652,35.194256,pleiades,cave,natural_cave,11950,109.4,Egypt / Levant
"Inka Wasi, Huancavelica",-13.57384167,-75.25351111,wikidata,archaeological_site,natural_cave,,109.4,Peru / Andes
Mines at Serabit el-Khadim,29.036776,33.459697,pleiades,mine-2,utilitarian,2700,115.8,Egypt / Levant
*Qubba,28.8469762,32.55089655,pleiades,"abbey, church",natural_cave,1650,130.4,Egypt / Levant
Cave of the Treasure in wadi Mishmar,31.391708,35.333827,megalithic_portal,Cave or Rock Shelter,natural_cave,,134.5,Egypt / Levant
Cave of Letters,31.4326732,35.3429429,pleiades,cave,natural_cave,1980,139.1,Egypt / Levant
Sangshekanan Cave,28.4854,53.5818,wikidata,megalithic_monument,natural_cave,,139.6,Iran / Persia
Zaranich Ras Al Zalaka rock painting,28.784421,34.095337,megalithic_portal,Cave or Rock Shelter,modified_cave,,147.9,Egypt / Levant
Cave of the Patriarchs,31.524744,35.110726,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,150.5,Egypt / Levant
Kom El-Shugafa Rock Cut Tombs,31.17856,29.89295,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,150.6,Egypt / Levant
Hazan caves,31.51841,34.90221306,wikidata,archaeological_site,natural_cave,,150.9,Egypt / Levant
Qaret Qasr es Salim Tombs,28.35162,28.87231,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,151.7,Egypt / Levant
Tabon Caves,9.27988,117.981,wikidata,archaeological_site,natural_cave,,152.8,Other
Wadi Murabba'at,31.585552,35.374098,pleiades,"cave, river",natural_cave,5250,155.9,Egypt / Levant
Marisa,31.592963,34.898241,pleiades,"sanctuary, settlement, cave",modified_cave,2500,159.2,Egypt / Levant
Beit Guvrin-Maresha caves,31.614,34.896,curated,artificial_complex,artificial_complex,2800,161.5,Egypt / Levant
el-Sawaita,28.389543,30.848573,pleiades,quarry,utilitarian,2280,167.0,Egypt / Levant
Qumran Caves (Dead Sea Scrolls),31.741,35.459,curated,modified_cave,modified_cave,2100,172.7,Egypt / Levant
Zygris (Marsa Baqqush),31.179258,27.668336,pleiades,"settlement, station, bay",utilitarian,2280,173.9,Egypt / Levant
Talpiot Tomb,31.75,35.2166671753,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,174.9,Egypt / Levant
Cave 19 at Udayagiri,23.5404115,77.7718366,pleiades,"cave, temple-2",rock_cut_monumental,1750,176.1,Indus Valley
Vaiṣṇava Temple at Udayagiri,23.5394521105,77.7711755417,pleiades,temple-2,rock_cut_monumental,1650,176.2,Indus Valley
Udayagiri Caves,23.5369996103,77.7716195896,pleiades,"cave, temple-2",rock_cut_monumental,,176.5,Indus Valley
Cave 13 at Udayagiri,23.5362633,77.7720448,pleiades,"cave, temple-2",rock_cut_monumental,1750,176.5,Indus Valley
Cave 5 at Udayagiri,23.5363125,77.7724056,pleiades,"cave, temple-2",rock_cut_monumental,1750,176.5,Indus Valley
Avshalom Cave,31.755833333,35.023333333,wikidata,megalithic_monument,natural_cave,,176.6,Egypt / Levant
Cave 1 at Udayagiri,23.5325586,77.7706357,pleiades,"cave, temple-2",rock_cut_monumental,1750,177.0,Indus Valley
Ketef Hinnom,31.7688612,35.225369,pleiades,"tomb, cave, cemetery",rock_cut_monumental,2550,177.0,Egypt / Levant
Cave of the Ramban,31.789444444,35.235,wikidata,archaeological_site,natural_cave,,179.2,Egypt / Levant
Stone vessels' cave,31.790611111,35.253916666,wikidata,archaeological_site,natural_cave,,179.2,Egypt / Levant
Revadim Quarry,31.783613,34.818228,wikidata,archaeological_site,utilitarian,,180.8,Egypt / Levant
El-Jai cave,31.848333333,35.304722222,wikidata,archaeological_site,natural_cave,,185.4,Egypt / Levant
Takarkori,24.8831,10.3329,megalithic_portal,Cave or Rock Shelter,natural_cave,,186.2,Other
"Spirit Cave, Thailand",19.567805555,98.281083333,wikidata,archaeological_site,natural_cave,,188.3,Southeast Asia
"Ancient underground quarry, Jordan Valley",31.912444,35.462181,wikidata,archaeological_site,utilitarian,,191.7,Egypt / Levant
Tihna,28.159065,30.778044,pleiades,quarry,utilitarian,2280,191.9,Egypt / Levant
Alexandria/Rhambakia,26.1307298982,66.4596675625,pleiades,"unlocated, settlement",utilitarian,2280,192.4,Indus Valley
Alexandreia,26.1307298982,66.4596675625,pleiades,settlement,utilitarian,1980,192.4,Indus Valley
Banyan Valley Cave,19.633333,98.233333,wikidata,archaeological_site,natural_cave,,192.8,Southeast Asia
Ishkaft Salmān,31.8165665,49.84756075,pleiades,monument,rock_cut_monumental,250,196.6,Iran / Persia
el-Qawatir,28.085597,30.80169,pleiades,quarry,utilitarian,2280,200.2,Egypt / Levant
Zetis,27.5,57.5,pleiades,"unlocated, settlement",utilitarian,2500,200.7,Iran / Persia
Shuqba Cave,31.9820852,35.0432195,pleiades,cave,natural_cave,50,201.6,Egypt / Levant
Zawyet el-Sultan,28.057125,30.824849,pleiades,quarry,utilitarian,2280,203.6,Egypt / Levant
Tinshemet Caves,31.99959,34.96803,megalithic_portal,Cave or Rock Shelter,natural_cave,,203.9,Egypt / Levant
Wadi Sheikh Yasin,28.045946,30.863866,pleiades,quarry,utilitarian,2280,205.2,Egypt / Levant
Ganeshwar,27.6734194702,75.8153662913,pleiades,settlement,utilitarian,5950,205.9,Indus Valley
Mazor (West),32.0465193,34.9446721,pleiades,cave,natural_cave,8150,209.3,Egypt / Levant
Qesem Cave,32.109943,34.980007,megalithic_portal,Cave or Rock Shelter,natural_cave,,216.1,Egypt / Levant
Barabar Caves,25.005,85.063,curated,rock_cut_monumental,rock_cut_monumental,2200,217.9,Other
Beni Hasan,27.9313576,30.87527185,pleiades,cemetery,rock_cut_monumental,3960,217.9,Egypt / Levant
Nahal Qanah cave,32.135105,35.070777,pleiades,cave,natural_cave,11950,218.4,Egypt / Levant
Untitled,27.75,30.75,pleiades,quarry,utilitarian,1980,236.9,Egypt / Levant
Untitled,27.75,30.75,pleiades,quarry,utilitarian,2280,236.9,Egypt / Levant
Mugharet Abu Halimeh,32.319509,35.181022,pleiades,"tomb, cave",rock_cut_monumental,1980,238.3,Egypt / Levant
Mashkan-Shapir,32.4055,45.2207,pleiades,"settlement, archaeological-site",utilitarian,5950,238.3,Iran / Persia
Pontia (island),30.7584775961,19.9572024414,pleiades,"archipelago, island",utilitarian,250,239.5,Other
Udayagiri Caves,23.48,75.772,curated,rock_cut_monumental,rock_cut_monumental,1600,242.2,Indus Valley
Isidis (island),27.931939688,34.6969066694,pleiades,"unlocated, island",utilitarian,,246.1,Egypt / Levant
Gebel Zeit,27.84253,33.559262,pleiades,mine-2,utilitarian,1980,248.9,Egypt / Levant
Udaigiri Caves,20.262494,85.785768,megalithic_portal,Cave or Rock Shelter,natural_cave,,249.8,Other
Hatnub,27.55,31.0,pleiades,quarry,utilitarian,4620,261.3,Egypt / Levant
Cu Chi Tunnels (Vietnam),11.143,106.463,curated,artificial_complex,artificial_complex,50,265.3,Southeast Asia
Kebara Cave,32.558355,34.937076,megalithic_portal,Cave or Rock Shelter,natural_cave,,266.1,Egypt / Levant
Saru Maru caves and stupas,22.731972222,77.518527777,wikidata,archaeological_site,natural_cave,,269.6,Indus Valley
Củ Chi tunnels,11.061,106.526,wikidata,megalithic_monument,natural_cave,,270.3,Southeast Asia
Skhul cave,32.62586389,34.95851944,wikidata,archaeological_site,natural_cave,,273.5,Egypt / Levant
Raqefet Cave,32.65403848,35.07739709,wikidata,archaeological_site,natural_cave,,276.0,Egypt / Levant
Crocodile Necropolis,27.417083,31.214245,pleiades,cemetery,rock_cut_monumental,2254,277.9,Egypt / Levant
Carmel Prehistoric Caves,32.671101,34.965111,megalithic_portal,Cave or Rock Shelter,natural_cave,,278.5,Egypt / Levant
Hinglaj,25.512984,65.515883,megalithic_portal,Cave or Rock Shelter,natural_cave,,279.5,Indus Valley
Beit She’arim,32.7037666,35.1292388,pleiades,cemetery,rock_cut_monumental,1980,281.3,Egypt / Levant
Nahal Oren,32.7145854,34.9741241,pleiades,cave,natural_cave,,283.3,Egypt / Levant
Misliya Cave,32.741335,34.972444,wikidata,archaeological_site,natural_cave,,286.3,Egypt / Levant
Naka Cave,17.9523,104.1043,wikidata,megalithic_monument,natural_cave,,294.4,Southeast Asia
Untitled,27.25,31.25,pleiades,quarry,utilitarian,2280,296.7,Egypt / Levant
Hilazon Tachtit,32.898766,35.270695,megalithic_portal,Cave or Rock Shelter,natural_cave,,302.2,Egypt / Levant
HaYonim cave,32.920089,35.218264,megalithic_portal,Cave or Rock Shelter,natural_cave,,304.8,Egypt / Levant
Peqi'in Cave,32.973416,35.329777,pleiades,"cave, cemetery",modified_cave,8150,310.2,Egypt / Levant
Khnum-Nakht and Nekht-Ankh Tomb,27.1014572722,31.1703388421,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,312.5,Egypt / Levant
Evron Quarry,32.984455555,35.120380555,wikidata,archaeological_site,utilitarian,,312.5,Egypt / Levant
Ctesiphon,33.094703,44.5812226667,pleiades,"urban, settlement",utilitarian,2490,313.0,Iran / Persia
Lycabettos,27.240374,33.283175,pleiades,"settlement, quarry",utilitarian,1980,313.8,Egypt / Levant
Porphyrites (mountain),27.216667,33.266667,pleiades,"mountain, quarry",utilitarian,1980,316.4,Egypt / Levant
Manot cave,33.035874,35.194665,megalithic_portal,Cave or Rock Shelter,natural_cave,,317.8,Egypt / Levant
Umm Balad,27.1474256127,33.2913886735,pleiades,"fort-2, quarry",utilitarian,1980,324.2,Egypt / Levant
Caldone (promontory),27.0000001,50.9999999,pleiades,"unlocated, cape",utilitarian,1980,328.4,Iran / Persia
Pol-e Dokhtar,33.1523787,47.712767,pleiades,"bridge, settlement-modern",modified_cave,1980,331.8,Iran / Persia
El-Hammamiya Tombs,26.9356851872,31.4877031664,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,333.6,Egypt / Levant
Tjebu Governor Tombs,26.918666,31.499166,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,335.6,Egypt / Levant
Ghemines,31.655133,20.016154,pleiades,villa,utilitarian,1980,336.5,Other
Kalmākarrah Cave,33.1998,47.601,pleiades,"findspot, cave",natural_cave,2950,336.5,Iran / Persia
Sanctuary of Pan at Paneas,33.2487589617,35.6946943577,pleiades,sanctuary,rock_cut_monumental,2280,339.0,Egypt / Levant
Hiram's Tomb,33.23333,35.28333,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,339.3,Egypt / Levant
Son Doong Cave,17.456944444,106.2875,wikidata,megalithic_monument,natural_cave,,350.2,Southeast Asia
Bibakta (island),24.4242644045,67.6830365993,pleiades,"island, label",utilitarian,2280,350.6,Indus Valley
Thien Duong Cave,17.5195141,106.2229718,wikidata,megalithic_monument,natural_cave,,353.3,Southeast Asia
Pampa de Cueva,-11.994145,-77.0550719,wikidata,archaeological_site,natural_cave,,354.0,Peru / Andes
Kawkaba Phoenician Grotto,33.391,35.646,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,355.0,Egypt / Levant
Untitled,26.75,31.75,pleiades,quarry,utilitarian,2280,356.4,Egypt / Levant
Shiqāft-i Gulgul,33.4675,46.4843,pleiades,monument,rock_cut_monumental,250,361.0,Iran / Persia
Phong Nha Cave,17.5823815,106.2824154,wikidata,megalithic_monument,natural_cave,,362.4,Southeast Asia
Klaudianon,26.809167,33.486944,pleiades,"quarry, fort",utilitarian,1980,363.1,Egypt / Levant
Tú Làn Caves System,17.7598403,106.1163255,wikidata,megalithic_monument,natural_cave,,371.9,Southeast Asia
Shamshir Ghar,31.583149,65.50081,pleiades,cave,natural_cave,2050,380.6,Indus Valley
Tomb of the Mayor of Athribis,26.5101559,31.6644884,pleiades,tomb,rock_cut_monumental,1949,382.3,Egypt / Levant
Madaâin Saleh,26.79223245,37.9814237,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,387.1,Egypt / Levant
Qasr Al Farid Tomb,26.774118878,37.9612072903,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,389.0,Egypt / Levant
Abu Diyeiba,26.522376,33.757256,pleiades,"settlement, mine-2",utilitarian,2280,396.7,Egypt / Levant
Lakh-mazar,32.684617,59.436502,pleiades,settlement,rock_cut_monumental,1980,397.0,Iran / Persia
Al Ula Lion Tomb,26.6351898842,37.9269636329,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,404.3,Egypt / Levant
Semna,26.4175835646,33.6594385425,pleiades,"settlement, station, mine-2, fort",utilitarian,2280,407.7,Egypt / Levant
Antelias cave,33.899972222,35.616694444,wikidata,archaeological_site,natural_cave,,411.7,Egypt / Levant
Slonta Grotto,32.6337767299,21.7853716875,megalithic_portal,Cave or Rock Shelter,natural_cave,,414.2,Other
Pak Ou Caves,20.0487,102.2105,wikidata,megalithic_monument,natural_cave,,414.4,Southeast Asia
Narbek,32.6152,21.6135,pleiades,church-2,rock_cut_monumental,1650,414.9,Other
Eridiya,26.337894,33.512935,pleiades,"settlement, mine-2",utilitarian,1980,415.5,Egypt / Levant
Jeita Grotto,33.943916666,35.640611111,wikidata,megalithic_monument,natural_cave,,416.5,Egypt / Levant
Stone of the Pregnant Woman,33.9991672,36.2001212,pleiades,"quarry, monument",utilitarian,1980,420.1,Egypt / Levant
Osireion at Abydos,26.185,31.919,curated,rock_cut_monumental,rock_cut_monumental,3300,420.4,Egypt / Levant
Phnom Chhngok Cave Temple,10.642572,104.270124,megalithic_portal,Cave or Rock Shelter,rock_cut_monumental,,423.7,Southeast Asia
Afqa Grotto,34.067806,35.89328,wikidata,archaeological_site,natural_cave,,429.1,Egypt / Levant
Cyrene Rock Cut Tombs,32.8228,21.85246,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,433.8,Other
Cyrene Necropolis,32.8261390188,21.8555273899,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,434.1,Other
Haua Fteah,32.9001953,22.0515628,pleiades,cave,natural_cave,250,439.2,Other
Atalla,26.127497,33.556262,pleiades,"mine-2, fort",utilitarian,1980,439.2,Egypt / Levant
Untitled,34.25,36.25,pleiades,quarry,utilitarian,1980,447.8,Egypt / Levant
Deh-i No/Sakavand,34.234855,47.446675,pleiades,cemetery,rock_cut_monumental,2500,450.6,Iran / Persia
Gyndes (river),34.3373155203,45.218017711,pleiades,river,utilitarian,2500,453.0,Iran / Persia
Persou (Wadi Hammamat),25.9896679,33.5691741,pleiades,"settlement, archaeological-site, quarry",utilitarian,2280,454.6,Egypt / Levant
Amioun Necropolis,34.299593,35.812039,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,455.2,Egypt / Levant
Untitled,25.75,30.75,pleiades,quarry,utilitarian,1980,458.3,Egypt / Levant
Persou (Bir Umm Fawakhir),25.950983,33.568897,pleiades,"settlement, quarry",utilitarian,2280,458.9,Egypt / Levant
Do-Ashkaft Cave,34.400952777,47.130813888,wikidata,archaeological_site,natural_cave,,467.5,Iran / Persia
Malge,25.879417,34.009932,pleiades,mine,utilitarian,2280,469.7,Egypt / Levant
Chale Ghar 1,34.2495603,50.9944101,pleiades,"sanctuary, mine-2",utilitarian,4450,474.8,Iran / Persia
Palmyra Valley of the Tombs,34.5533,38.25034,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,474.9,Egypt / Levant
Valley of the Kings (KV complex),25.74,32.601,curated,rock_cut_monumental,rock_cut_monumental,3500,475.2,Egypt / Levant
Untitled,25.75,32.75,pleiades,quarry,utilitarian,1980,475.2,Egypt / Levant
Sahneh Rock Cut Tombs,34.49069,47.69612,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,480.3,Iran / Persia
Wadi Caves,25.12243,55.84747,megalithic_portal,Cave or Rock Shelter,natural_cave,,484.7,Iran / Persia
Jebel Faya Rock Shelter,25.11878,55.84747,megalithic_portal,Cave or Rock Shelter,natural_cave,,485.1,Iran / Persia
Macahambus Cave,8.75,125.0,wikidata,megalithic_monument,natural_cave,,485.3,Other
Tam Pa Ling Cave,20.20861111,103.40972222,wikidata,archaeological_site,natural_cave,,486.0,Southeast Asia
Untitled,25.625932,49.755626,pleiades,mine-2,utilitarian,2280,490.5,Iran / Persia
Sasasanian Mine Near Tower 19,34.7477218363,40.7264521226,pleiades,siege-mine,utilitarian,1750,492.7,Other
Roman Countermine Near Tower 19,34.7478031646,40.7266794831,pleiades,siege-mine,utilitarian,1750,492.7,Other
Vijasan Caves,20.097222,79.098056,wikidata,archaeological_site,natural_cave,,499.0,Indus Valley
Haleshi Mahadeva,27.193188,86.622503,megalithic_portal,Cave or Rock Shelter,natural_cave,,500.6,Other
Aetokremnos,34.5705,32.9907,megalithic_portal,Cave or Rock Shelter,natural_cave,,501.1,Egypt / Levant
Laneia rock-cut chambers,34.577318,32.996208,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,501.8,Egypt / Levant
Qanat Quartier,25.376773,51.5448854,wikidata,megalithic_monument,utilitarian,,503.4,Iran / Persia
Royal Hypogeum at Qatna,34.8358369654,36.8639045437,pleiades,cemetery,rock_cut_monumental,4285,510.5,Egypt / Levant
Deer Cave,4.13194,114.91889,wikidata,megalithic_monument,natural_cave,,511.8,Southeast Asia
Pang-2,27.8,85.2167,megalithic_portal,Cave or Rock Shelter,natural_cave,,514.4,Other
Umm Rus,25.497035,34.577225,pleiades,mine-2,utilitarian,2280,515.7,Egypt / Levant
Birendra Cave,28.247421057,84.004102664,wikidata,megalithic_monument,natural_cave,,519.7,Other
Masokambos,34.753453,33.18248,pleiades,mine-2,utilitarian,2500,520.1,Egypt / Levant
Mahendra Cave,28.2714,83.9797,wikidata,megalithic_monument,natural_cave,,521.4,Other
Umm Howeitat,25.437767,34.57094,pleiades,mine-2,utilitarian,2280,522.2,Egypt / Levant
Siqdit,25.402357,34.086333,pleiades,"settlement, mine-2",utilitarian,2280,523.2,Egypt / Levant
Tombs of the Kings,34.7747916597,32.4060692433,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,527.8,Egypt / Levant
Kotumsar Cave,18.871666666,81.935,wikidata,megalithic_monument,natural_cave,,533.0,Other
Untitled,32.5,14.5,pleiades,quarry,utilitarian,1980,535.7,Other
Kokkinovouno,34.873664,32.814786,pleiades,mine-2,utilitarian,1980,535.9,Egypt / Levant
Wadi Dabab,25.311144,34.560232,pleiades,mine-2,utilitarian,2280,536.2,Egypt / Levant
Untitled,25.25,33.75,pleiades,quarry,utilitarian,1980,537.8,Egypt / Levant
Ag. Georgios,34.896002,32.727661,pleiades,mine-2,utilitarian,1650,539.0,Egypt / Levant
Mosphiloudia,34.968808,33.832711,pleiades,quarry,utilitarian,2280,539.9,Egypt / Levant
Makronissos Tombs,34.98106,33.9539,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,540.5,Egypt / Levant
Gebel Rokham,25.236884,33.991305,pleiades,quarry,utilitarian,1980,540.9,Egypt / Levant
Sia,34.95255,33.367495,pleiades,mine-2,utilitarian,2700,541.0,Egypt / Levant
Sarka,34.918158,32.659182,pleiades,mine-2,utilitarian,1980,541.9,Egypt / Levant
Asprogia,34.927088,32.610018,pleiades,mine-2,utilitarian,1980,543.3,Egypt / Levant
Viengxay caves,20.4,104.23,wikidata,megalithic_monument,natural_cave,,543.4,Southeast Asia
Almyras,34.9770319,33.3716059,pleiades,"production, archaeological-site, mine-2",utilitarian,2700,543.7,Egypt / Levant
Untitled,25.25,34.75,pleiades,quarry,utilitarian,1980,544.1,Egypt / Levant
El Kab,25.130663,32.808339,pleiades,"production, tomb, settlement",rock_cut_monumental,4900,544.3,Egypt / Levant
Mathiatis,34.981767,33.341147,pleiades,mine-2,utilitarian,2700,544.4,Egypt / Levant
Bakare,25.21027,34.274414,pleiades,mine-2,utilitarian,1980,545.7,Egypt / Levant
Wadi Nabiyah,25.218553,34.569681,pleiades,mine-2,utilitarian,2280,546.6,Egypt / Levant
Klirou,35.021215,33.184191,pleiades,mine-2,utilitarian,2700,549.8,Egypt / Levant
Ras el-Hammam,32.605487,14.281807,pleiades,quarry,utilitarian,1980,551.8,Other
Agrokipia,35.044062,33.140868,pleiades,mine-2,utilitarian,2700,552.6,Egypt / Levant
Mitsero,35.041655,33.09996,pleiades,mine-2,utilitarian,2700,552.6,Egypt / Levant
Lyso,35.010847,32.521767,pleiades,mine-2,utilitarian,2700,553.2,Egypt / Levant
Neapolis/Lepcis Magna,32.6364478326,14.2970935174,pleiades,"settlement, port, archaeological-site",utilitarian,2700,554.8,Other
Kinousa,35.02998,32.508911,pleiades,mine-2,utilitarian,2700,555.4,Egypt / Levant
Pelathousa Slag Heap,35.0276727381,32.4753803069,pleiades,"slag-heap, settlement-modern",utilitarian,,555.4,Egypt / Levant
Borra Caves,18.281111111,83.039444444,wikidata,megalithic_monument,natural_cave,,556.1,Other
Ajanta Caves,20.552,75.7,curated,rock_cut_monumental,rock_cut_monumental,2150,556.3,Indus Valley
Limni,35.0371591019,32.4830089816,pleiades,mine-2,utilitarian,2700,556.4,Egypt / Levant
Magounda,35.055105,32.493548,pleiades,mine-2,utilitarian,2700,558.3,Egypt / Levant
Argaka Slag Heap,35.0626867579,32.5055574505,pleiades,"slag-heap, settlement-modern",utilitarian,,559.0,Egypt / Levant
Skouriotissa,35.093709,32.895656,pleiades,mine-2,utilitarian,2700,559.8,Egypt / Levant
Untitled,35.100727,32.914055,pleiades,mine-2,utilitarian,2500,560.4,Egypt / Levant
Mavrovounoi,35.097462,32.837438,pleiades,mine-2,utilitarian,2700,560.6,Egypt / Levant
cave of the owls,-9.3292289,-76.0268971,wikidata,megalithic_monument,natural_cave,,568.7,Peru / Andes
Borra Caves,18.166666666,83.0,wikidata,megalithic_monument,natural_cave,,569.5,Other
Abu Greiya,25.015244,34.704461,pleiades,mine,utilitarian,2280,569.9,Egypt / Levant
Attut,24.978521,34.414891,pleiades,mine-2,utilitarian,2280,572.3,Egypt / Levant
Ali-Sadr Cave,35.301608,48.303881,wikidata,archaeological_site,natural_cave,,573.5,Iran / Persia
Lapuz Lapuz Cave,11.02794444,122.65611111,wikidata,archaeological_site,natural_cave,,575.4,Other
Untitled,34.75,26.75,pleiades,quarry,utilitarian,,578.5,Egypt / Levant
Sukkari,24.936695,34.719635,pleiades,"settlement, mine-2",utilitarian,2280,578.7,Egypt / Levant
Hazar Merd Cave,35.482222,45.277222,wikidata,archaeological_site,natural_cave,,580.4,Iran / Persia
Wadi el-Amboot,24.919894,34.836844,pleiades,mine-2,utilitarian,2280,581.3,Egypt / Levant
Hazar Merd Cave,35.4939156,45.3110587,pleiades,cave,natural_cave,,581.8,Iran / Persia
Karmi.,35.32251,33.26385,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,582.7,Egypt / Levant
Charkeia,35.34489,33.5344,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,583.5,Egypt / Levant
Hatra,35.587884,42.718342,pleiades,settlement,utilitarian,1980,586.7,Other
Manawir el-Biyut,24.5744890697,30.6764522318,pleiades,"settlement, cemetery",utilitarian,2500,587.8,Egypt / Levant
Hangaliya Mine,24.840149,34.580165,wikidata,archaeological_site,utilitarian,,588.6,Egypt / Levant
Hangaliya,24.802789,34.60656,pleiades,"settlement, mine",utilitarian,2280,592.9,Egypt / Levant
Con Moong Cave,20.2875,105.605,wikidata,archaeological_site,natural_cave,,597.3,Southeast Asia
Gebel es-Silsilah,24.6485729,32.9293463,pleiades,mountain,utilitarian,6450,598.7,Egypt / Levant
Chavín de Huántar galleries,-9.593,-77.177,curated,artificial_complex,artificial_complex,3000,599.0,Peru / Andes
Gebel Zabara,24.748949,34.731239,pleiades,"settlement, mine-2",utilitarian,1980,599.7,Egypt / Levant
Hang Con Moong,20.317,105.608,megalithic_portal,Cave or Rock Shelter,natural_cave,,600.4,Southeast Asia
Gebel al Silsila,24.633333,32.933333,pleiades,"mountain, quarry",utilitarian,250,600.4,Egypt / Levant
