name,lat,lon,source,type_raw,subtype,date_bp,gc_distance_km,cluster
Santu Cristos Domus de Janas,40.106667,8.910556,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1480.4,Other
Istevene Domus de Janas,40.1935057,9.2919928,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1480.7,Other
Los Algarbes,36.075216,-5.6995,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1480.8,Other
Tiscali,40.2414638656,9.49161397047,pleiades,"settlement, cave, archaeological-site",natural_cave,3950,1481.2,Other
Su Ladere Domus de Janas,40.0832128,8.7592282,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1481.5,Other
Roccia San Sebastiano,41.135,13.882,megalithic_portal,Cave or Rock Shelter,natural_cave,,1482.1,Other
NecrÃ³polis Fenicio-PÃºnica Puente de Noy,36.73815,-3.69975,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1482.3,Other
Grotta Corbeddu,40.2549181,9.4850745,pleiades,cave,natural_cave,250,1482.7,Other
S'Eredadu Domus de Janas,40.2135529,9.2779152,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1483.2,Other
Sa 'e Mazzozzo Domus de Janas,40.2176954,9.285424,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1483.4,Other
Edakkal Caves,11.664236068,76.26272583,megalithic_portal,Cave or Rock Shelter,natural_cave,,1484.4,Other
Torrecuevas aqueduct,36.762144,-3.689824,pleiades,aqueduct,utilitarian,1980,1484.5,Other
Untitled,42.5,22.5,pleiades,quarry,utilitarian,1980,1485.0,Other
Sas Venas Domus de Janas,40.308333,9.596111,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1485.9,Other
Ispiluncas Domus de Janas,40.15798,8.90109,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1486.1,Other
Cueva del Moro (Tarifa),36.101205,-5.793227,megalithic_portal,Cave or Rock Shelter,natural_cave,,1486.7,Other
Grotta di Ispinigoli,40.318149,9.60628,megalithic_portal,Cave or Rock Shelter,natural_cave,,1486.7,Other
Roman quarries of Cartagena,37.6154587548,-1.04388145108,pleiades,quarry,utilitarian,1980,1489.0,Other
Caves of Nerja,36.761667,-3.845833,megalithic_portal,Cave or Rock Shelter,natural_cave,,1489.5,Other
Mesu Enas Domus de Janas,40.1605911,8.7579221,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1489.8,Other
Sa Pedra 'e Taleri Domus de Janas,40.215378,8.943884,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1491.2,Other
Cueva de Palomas III,36.199166666,-5.660861111,wikidata,archaeological_site,natural_cave,,1492.2,Other
Cueva de la Paloma,37.241792,-2.403309,pleiades,mine-2,utilitarian,2280,1492.7,Other
Malicas Domus de Janas,40.3841178,9.6112105,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1493.6,Other
Sas Concas Domus de Janas,40.2901,9.16977,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1493.9,Other
Cartagena-Mazarrón,37.613798,-1.229486,pleiades,mine-2,utilitarian,2280,1494.6,Other
Hypogea in Siponto,41.608930555,15.891419444,wikidata,archaeological_site,natural_cave,,1494.6,Other
Cueva de los Botijos,36.58,-4.57,wikidata,archaeological_site,natural_cave,,1494.7,Other
Putzu Domus de Janas,40.21597,8.792871,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1494.8,Other
Preizza Domus de Janas,40.2133414,8.7665104,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1495.2,Other
Doddoi Domus de Janas,40.419594,9.673761,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1496.0,Other
Turrighe Domus de Janas,40.405278,9.601111,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1496.1,Other
Cobercada Domus de Janas,40.2392219,8.837243,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1496.3,Other
Lottoai Domus de Janas,40.3714,9.4352,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1496.4,Other
Bajondillo cave,36.621982,-4.49994,wikidata,archaeological_site,natural_cave,,1496.7,Other
Bacho Kiro cave,42.946666666,25.430277777,wikidata,archaeological_site,natural_cave,,1497.0,Other
Bau Cannas Domus de Janas,40.240849,8.80024,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1497.3,Other
Scaloria Cavern,41.640333,15.905916,megalithic_portal,Cave or Rock Shelter,natural_cave,,1497.8,Other
Oddoene Domus de Janas,40.451739,9.709186,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1498.6,Other
Sa Conca 'e Mortu Domus de Janas,40.441305,9.6628484,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1498.6,Other
Molia,40.305909,9.031727,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1498.8,Other
Macael,37.332285,-2.304901,pleiades,quarry,utilitarian,2280,1499.0,Other
Albox,37.3898,-2.147557,pleiades,quarry,utilitarian,2280,1500.0,Other
Cueva del Higuerón,36.719728,-4.297629,wikidata,archaeological_site,natural_cave,,1500.1,Other
