id,name,latitude,longitude,site_type_id,reference_sources,province,district,geonames_specific,geonames_province,wikidata_sameas,full_url
39,"Cal Dag, Kebren ",39.742933,26.5589,7,Aslan and Bieg 2003; Cook_1973a; Cook_1973b; Pavuk and Schubert_2014,Canakkale,Akpinar,https://www.geonames.org/318603,https://www.geonames.org/315202,,https://luwianstudies.org/sites/cal-dag-kebren
40,Kilcanlar Hoyuk ,38.679275,27.992882,2,"Meric_1986; Greenewalt and  Sullivan and Ratte and Howe_ 1985; Roosevelt_2009, Roosevelt_2011",Manisa,Kilcanlar,https://www.geonames.org/8693538,https://www.geonames.org/317109,https://www.wikidata.org/wiki/Q571082,https://luwianstudies.org/sites/kilcanlar-hoyuk
41,Kolossai (Honaz) Hoyuk ,37.7868,29.2603,2,Duman and Konakci 2006; Mellaart 1954; Birmingham 1964,Denizli,Cumhuriyet,https://www.geonames.org/6299757,https://www.geonames.org/311046,https://www.wikidata.org/wiki/Q6091199,https://luwianstudies.org/sites/kolossai-honaz-hoyuk
42,Yassi Hoyuk ,38.199367,29.661567,2,Abay and Dedeoglu_2005,Denizli,Kavakkoy,https://www.geonames.org/12207244,https://www.geonames.org/317109,https://www.wikidata.org/wiki/Q233121,https://luwianstudies.org/sites/yassi-hoyuk
43,Atarneus,39.091367,26.921667,2,Dreihaus_1957; Horejs_2010; Pirson_2008; Pirson and Zimmermann_2011/2012,Izmir,Cumhuriyet,,https://www.geonames.org/749780,,https://luwianstudies.org/sites/atarneus
44,Araplar Uyucek (Mandira Tepe),39.591967,26.981983,2,Mellaart_1955; French_1967,Balikesir,Kadikoy,https://www.geonames.org/743817,https://www.geonames.org/747712,https://www.wikidata.org/wiki/Q6098985,https://luwianstudies.org/sites/araplar-uyucek-mandira-tepe
45,Araplar Uyucek (Mandira Tepe),40.264387,29.538707,2,Mellaart_1955; French_1967,Bursa,Cardak,https://www.geonames.org/746983,https://www.geonames.org/750269,https://www.wikidata.org/wiki/Q18285621,https://luwianstudies.org/sites/araplar-uyucek-mandira-tepe
46,Inegol II Hoyuk,40.066383,29.546617,2,French_1967,Bursa,Inegol,https://www.geonames.org/10181782,https://www.geonames.org/315202,,https://luwianstudies.org/sites/inegol-ii-hoyuk
47,Midaion (Kara Hoyuk),39.792833,30.854833,2,Burney_1956; Efe_1996; Bilgen_2006; Bilgen_2007,Eskisehir,Agapinar,https://www.geonames.org/303402,https://www.geonames.org/322165,,https://luwianstudies.org/sites/midaion-kara-hoyuk
48,Yesildon,39.731017,31.04225,2,Burney_1956; Efe_1996,Eskisehir,Esence,https://www.geonames.org/316634,https://www.geonames.org/323777,,https://luwianstudies.org/sites/yesildon
49,Porsuk Hoyuk 1,39.71757,31.054443,2,Efe_1997; Burney_1956,Eskisehir,Alpu,https://www.geonames.org/308051,https://www.geonames.org/315202,,https://luwianstudies.org/sites/porsuk-hoyuk-1
50,Porsuk Hoyuk 2,39.7131,31.06395,2,Efe_1997; Burney_1956,Eskisehir,Alpu,,https://www.geonames.org/750598,,https://luwianstudies.org/sites/porsuk-hoyuk-2
51,Karapazar ,39.587283,30.555683,2,Efe_1995; Tufekci Sivas and Sivas_2005,Eskisehir,Akpinar,https://www.geonames.org/309510,https://www.geonames.org/311046,,https://luwianstudies.org/sites/karapazar
52,Toraman Hoyuk,39.631093,30.719923,2,Efe_1995,Eskisehir,Kalkanli,https://www.geonames.org/8244746,https://www.geonames.org/315202,,https://luwianstudies.org/sites/toraman-hoyuk
53,Agapinar,39.804917,30.768733,2,Efe_1995,Eskisehir,Agapinar,,https://www.geonames.org/325303,,https://luwianstudies.org/sites/agapinar
54,Yakakayi,39.84595,30.778967,2,Efe_1996,Eskisehir,Yakakayi,https://www.geonames.org/321733,https://www.geonames.org/322819,,https://luwianstudies.org/sites/yakakayi
55,Kulhoyuk ,39.661833,30.9611,2,Efe_1996,Eskisehir,Isikoren,https://www.geonames.org/299438,https://www.geonames.org/322819,,https://luwianstudies.org/sites/kulhoyuk
56,Kurtlar Hoyuk ,39.589559,31.124291,2,Efe_1996,Eskisehir,Balcikhisar,https://www.geonames.org/12207427,https://www.geonames.org/311046,,https://luwianstudies.org/sites/kurtlar-hoyuk
57,Katirkulesi ,39.50515,30.80575,2,Efe_1996,Eskisehir,Cukuragil,https://www.geonames.org/12207249,https://www.geonames.org/315202,,https://luwianstudies.org/sites/katirkulesi
58,Hamidiye 1 ,39.5702,30.918333,2,Efe_1996,Eskisehir,Hamidiye,https://www.geonames.org/314320,https://www.geonames.org/315202,,https://luwianstudies.org/sites/hamidiye-1
59,Kizilcakoy ,39.349758,31.312649,2,Efe_1996,Eskisehir,Sivrihisar,https://www.geonames.org/298316,https://www.geonames.org/315202,,https://luwianstudies.org/sites/kizilcakoy
60,Buyuk Hoyuk,39.385039,31.492761,2,Efe_1996,Eskisehir,Asagi Kepen,https://www.geonames.org/302009,https://www.geonames.org/311046,,https://luwianstudies.org/sites/buyuk-hoyuk
61,Hamitli Hoyuk,39.3474,30.876533,2,Efe_1996,Eskisehir,Orhaniye,https://www.geonames.org/12207342,https://www.geonames.org/749780,https://www.wikidata.org/wiki/Q593737,https://luwianstudies.org/sites/hamitli-hoyuk
62,Ilicabasi I,39.338367,31.00025,2,Efe_1996,Eskisehir,Ilicabasi,,https://www.geonames.org/311046,,https://luwianstudies.org/sites/ilicabasi-i
63,Kulapa Hoyuk ,39.239649,30.821252,2,Efe_1997,Eskisehir,Gokcekuyu,https://www.geonames.org/313115,https://www.geonames.org/311046,,https://luwianstudies.org/sites/kulapa-hoyuk
64,Ibikseydi,39.56885,31.43435,2,Tufekci Sivas and Sivas_2005,Eskisehir,Ibikseydi,https://www.geonames.org/310983,https://www.geonames.org/315202,,https://luwianstudies.org/sites/ibikseydi
65,Dogray Hoyuk ,39.686517,31.303541,2,Tufekci Sivas and Sivas_2006,Eskisehir,Emircik,,https://www.geonames.org/311046,,https://luwianstudies.org/sites/dogray-hoyuk
66,Kocahoyuk,39.782367,29.622683,,Efe_1990,Kutahya,Bukerler,https://www.geonames.org/6685987,https://www.geonames.org/317109,,https://luwianstudies.org/sites/kocahoyuk
67,Tavsanli Hoyuk ,39.529617,29.485383,2,Efe_1990,Kutahya,Tavsanli,https://www.geonames.org/750883,https://www.geonames.org/305268,,https://luwianstudies.org/sites/tavsanli-hoyuk
68,Kopruoren Hoyuk ,39.504867,29.753733,2,Efe_1990,Kutahya,Kopruoren,https://www.geonames.org/10861640,https://www.geonames.org/315202,,https://luwianstudies.org/sites/kopruoren-hoyuk
69,Gecek,39.083833,30.067317,2,Efe_1993,Kutahya,Gecek,https://www.geonames.org/322689,https://www.geonames.org/322165,,https://luwianstudies.org/sites/gecek
70,Beskaris ,38.99635,30.188333,2,Efe_1993; http://beskariskoyu.com/hoyuk.php,Kutahya,Beskaris,https://www.geonames.org/311133,https://www.geonames.org/750598,,https://luwianstudies.org/sites/beskaris
71,Hacikebir ,39.221333,29.651033,2,Efe_1994,Kutahya,Hacikebir,https://www.geonames.org/322829,https://www.geonames.org/325303,,https://luwianstudies.org/sites/hacikebir
72,Oluklu Hoyuk ,39.889917,30.224483,2,Efe_1990,Bilecik,Oluklu,https://www.geonames.org/322822,https://www.geonames.org/325303,,https://luwianstudies.org/sites/oluklu-hoyuk
73,Hisar Tepesi ,38.479567,30.105967,2,Kocak_2011,Afyonkarahisar,Gursu,https://www.geonames.org/297769,https://www.geonames.org/325303,,https://luwianstudies.org/sites/hisar-tepesi
74,Incesirim Mevkii ,38.470067,30.036367,2,Kocak_2012,Afyonkarahisar,Saltik,https://www.geonames.org/321426,https://www.geonames.org/325303,,https://luwianstudies.org/sites/incesirim-mevkii
75,Uyuk Alti Mevkii,38.36595,30.171367,2,Kocak_2012,Afyonkarahisar,Orenkaya,https://www.geonames.org/320951,https://www.geonames.org/304184,,https://luwianstudies.org/sites/uyuk-alti-mevkii
76,Uyuk Mevkii ,38.332683,30.14365,2,Kocak_2012,Afyonkarahisar,Orenkaya,https://www.geonames.org/7732716,https://www.geonames.org/317109,,https://luwianstudies.org/sites/uyuk-mevkii
77,Hoyuk Tepe (Karahoyuk),38.4156,30.313783,2,Kocak_2012,Afyonkarahisar,Akin,https://www.geonames.org/750545,https://www.geonames.org/304827,,https://luwianstudies.org/sites/hoyuk-tepe-karahoyuk
78,Huyuk Tepesi ,38.509754,30.555001,2,Kocak_2013,Afyonkarahisar,Hallac,https://www.geonames.org/12207212,https://www.geonames.org/317109,,https://luwianstudies.org/sites/huyuk-tepesi
79,Kavaklar Mevkii ,38.462167,29.548933,,Kocak_2013-A,Usak,Budaklar,,https://www.geonames.org/311073,,https://luwianstudies.org/sites/kavaklar-mevkii
80,Besiktepe-Yassitepe,39.915167,26.150817,4,Korfmann_1984a; Korfmann_1986a; Korfmann_1988a; Basedow_2000,Canakkale,Ezine,https://www.geonames.org/10265651,https://www.geonames.org/317109,https://www.wikidata.org/wiki/Q6098464,https://luwianstudies.org/sites/besiktepe-yassitepe
81,Tenedos (Bozcaada),39.836133,26.072467,4,Blum and Thater and Thumm-Dograyan_2014; Arslan and Sevinc 2003;  Sevinc and Takoglu 2004; Takoglu and Bamyaci 2008,Canakkale,Alaybey,https://www.geonames.org/325492,https://www.geonames.org/298299,,https://luwianstudies.org/sites/tenedos-bozcaada
82,Bakla Tepe,38.16472,27.144945,4,Erkanal and Ozkan_1997; Erkanal and Ozkan_1998; Erkanal and Ozkan_1999; Erkanal and Ozkan_2000; Erdal_2002; Erkanal_2008 ,Izmir,Degirmendere,https://www.geonames.org/739289,https://www.geonames.org/747712,https://www.wikidata.org/wiki/Q1848789,https://luwianstudies.org/sites/bakla-tepe
83,Halkapinar,38.00215,27.4905,9,Horejs_2008; Meric_2009,Izmir,Tire,https://www.geonames.org/7732733,https://www.geonames.org/311046,https://www.wikidata.org/wiki/Q65072494,https://luwianstudies.org/sites/halkapinar
84,Ada Tepe (Birytis),39.840433,26.367233,2,Aslan and Bieg 2003; Cook_1973a; Hohfeld 2009; Pavuk and Schubert_2014,Canakkale,Akkoy,https://www.geonames.org/315061,https://www.geonames.org/749778,https://www.wikidata.org/wiki/Q6541637,https://luwianstudies.org/sites/ada-tepe-birytis
85,Kumtepe,39.978917,26.195967,2,"Aslan and Bieg 2003; Korfmann, Girgin and Morcol and Kilic_1995; Blum and Thater and Thumm-Dograyan_2014; Pavuk and Schubert_2014",Canakkale,Canakkale,https://www.geonames.org/8632198,https://www.geonames.org/749780,https://www.wikidata.org/wiki/Q1014125,https://luwianstudies.org/sites/kumtepe
86,Polymedion (Asarlik),39.4625,26.194233,2,"Pavuk and Schubert_2014; Kirsten_1952; Cook_1973b, Leaf-1923",Canakkale,Ayvacik,,https://www.geonames.org/315202,,https://luwianstudies.org/sites/polymedion-asarlik
87,Karagac Tepe,40.058233,26.192917,2,Ozdogan_1986; Ozdogan_1993,Canakkale,Eceabat,https://www.geonames.org/10238105,https://www.geonames.org/317109,,https://luwianstudies.org/sites/karagac-tepe
88,Asarlik-Eski Hisarlik ,39.881683,26.2973,2,Cook 1973a; Aslan and Bieg  2003; Korfmann_1996a;  Pavuk and Schubert_2014,Canakkale,Tastepe,https://www.geonames.org/11238704,https://www.geonames.org/747711,https://www.wikidata.org/wiki/Q6100614,https://luwianstudies.org/sites/asarlik-eski-hisarlik
89,Gavurtepe,38.194833,27.912483,2,Meric_2009,Izmir,Odemis,https://www.geonames.org/9888493,https://www.geonames.org/317109,,https://luwianstudies.org/sites/gavurtepe
90,Tavsan Adasi ,37.41975,27.216217,2,"http://www.minoer.uni-halle.de/index.htm, abgerufen am 05.04.2016; Akdeniz 1997 A; Bertemes and Hornung-Beretmes 2009",Aydin,Yali,https://www.geonames.org/303295,https://www.geonames.org/749778,https://www.wikidata.org/wiki/Q47611,https://luwianstudies.org/sites/tavsan-adasi
91,Alabanda,37.592533,27.984783,2,Garstang and Gurney_1959; Hawkins_1998; Herda_2009; Herda_2013,Aydin,Yorukler,https://www.geonames.org/9888161,https://www.geonames.org/311046,,https://luwianstudies.org/sites/alabanda
92,Elaia,38.943833,27.03995,10,Pirson_2007; Pirson_2008; Pirson_2009; Pirson_2014,Izmir,Zeytindag,https://www.geonames.org/7732336,https://www.geonames.org/317109,,https://luwianstudies.org/sites/elaia
93,Seyitomer Hoyuk ,39.581033,29.863717,2,Bilgen_2015; Efe_1991,Kutahya,Bozcahoyuk,https://www.geonames.org/296864,https://www.geonames.org/325303,,https://luwianstudies.org/sites/seyitomer-hoyuk
94,Tlos,36.554987,29.419706,2,Korkut_2013; Poetto_1993,Mugla,Seydikemer,https://www.geonames.org/8522444,https://www.geonames.org/304827,,https://luwianstudies.org/sites/tlos
95,Hastane Hoyuk (Thyateira),38.923808,27.837658,2,Mimaroglu_2013,Manisa,Ragipbey,https://www.geonames.org/745169,https://www.geonames.org/325303,,https://luwianstudies.org/sites/hastane-hoyuk-thyateira
96,Balli Dag ,39.875833,26.290233,4,Kossatz and Pompe 1992; Korfmann_1996a; Hoffeld_2009,Canakkale,Pinarbasi,https://www.geonames.org/10262823,https://www.geonames.org/311046,https://www.wikidata.org/wiki/Q1325973,https://luwianstudies.org/sites/balli-dag
97,Kalanuro Tepesi ,40.367567,26.6292,4,Ozdogan_1986,Canakkale,Gelibolu,https://www.geonames.org/305700,https://www.geonames.org/747711,https://www.wikidata.org/wiki/Q3303460,https://luwianstudies.org/sites/kalanuro-tepesi
98,"Boyalik Tepe I, II",39.518383,27.909633,4,Ozdogan_1989,Balikesir,Pamukcu,https://www.geonames.org/303400,https://www.geonames.org/317109,,https://luwianstudies.org/sites/boyalik-tepe-i-ii
99,Karsikir Mevkii,38.476433,30.185267,4,Kocak_2011,Afyonkarahisar,Ulfeciler,https://www.geonames.org/12207329,https://www.geonames.org/750269,,https://luwianstudies.org/sites/karsikir-mevkii
100,Dura Yeri ,38.68982,30.973615,9,Kocak_2012,Afyonkarahisar,Hamidiye,https://www.geonames.org/324826,https://www.geonames.org/305268,,https://luwianstudies.org/sites/dura-yeri
101,Caldiratmaz Mevkii ,38.722353,31.081349,9,Kocak_2012,Afyonkarahisar,Dipevler,https://www.geonames.org/324084,https://www.geonames.org/317109,,https://luwianstudies.org/sites/caldiratmaz-mevkii
102,Hasanli Hoyuk,38.313817,30.586383,4,Kocak_2014,Afyonkarahisar,Suhut,https://www.geonames.org/8632421,https://www.geonames.org/315202,,https://luwianstudies.org/sites/hasanli-hoyuk
103,Tatarderesi-Hacigebes,38.303883,26.629717,4,Ersoy and Koparal_2009,Izmir,Urla,https://www.geonames.org/312809,https://www.geonames.org/317109,,https://luwianstudies.org/sites/tatarderesi-hacigebes
104,Rhodes-Trianda ,36.416296,28.156523,11,Marketou_2010,?????,???????,https://www.geonames.org/303302,https://www.geonames.org/749780,,https://luwianstudies.org/sites/rhodes-trianda
105,Hanay Tepe ,39.908533,26.293067,2,Calvert_1859; Lamb_1932; Bloedow_2000-2001; Schachner_1999,Canakkale,Tastepe,https://www.geonames.org/10976201,https://www.geonames.org/315202,,https://luwianstudies.org/sites/hanay-tepe
106,In Limani,39.869,26.14915,2,Aslan and Bieg 2003; Blum and Thater and Thumm-Dograyan_2014; Pavuk and Schubert_2014,Canakkale,Kumburun,https://www.geonames.org/314519,https://www.geonames.org/750269,,https://luwianstudies.org/sites/in-limani
107,Sestos,40.213483,26.388767,2,Hoffeld_2009; Korpe_2016,Canakkale,Eceabat,https://www.geonames.org/9888209,https://www.geonames.org/749778,,https://luwianstudies.org/sites/sestos
108,Cobantepe (Tavolia),40.000717,26.258,2,Aslan and Bieg 2003; Cook_1973b; Cook_1973a; Blum and Thater and Thumm-Dograyan_2014; Pavuk and Schubert_2014,Canakkale,Kumkale,,https://www.geonames.org/317109,,https://luwianstudies.org/sites/cobantepe-tavolia
109,Figla Tepe ,39.895,26.308917,12,"Aslan and Bieg 2003, Korfmann_1996a",Canakkale,Tastepe,https://www.geonames.org/747204,https://www.geonames.org/322819,,https://luwianstudies.org/sites/figla-tepe
110,Isildak Tepe ,40.005233,26.28995,2,Akarca_1978; Aslan and Bieg 2003,Canakkale,Canakkale,https://www.geonames.org/301771,https://www.geonames.org/317109,,https://luwianstudies.org/sites/isildak-tepe
111,Eski Kale (Rhoiteion) ,40.009167,26.29995,12,Aslan and Bieg 2003; Cook_1973b; Cook_1973a; Aslan and Polat_2013,Canakkale,Erenkoy,https://www.geonames.org/301407,https://www.geonames.org/749778,,https://luwianstudies.org/sites/eski-kale-rhoiteion
112,Mal Tepe (Dardanos) ,40.085194,26.368472,2,Cook 1973a; Aslan and Bieg  2003; Korfmann_1996a,Canakkale,Cinarli Koyu,https://www.geonames.org/10181000,https://www.geonames.org/323777,,https://luwianstudies.org/sites/mal-tepe-dardanos
113,Hantepe ,39.804867,26.15705,2,Aslan and Bieg 2003; Cook_1973a,Canakkale,Geyikli,https://www.geonames.org/8245830,https://www.geonames.org/750269,,https://luwianstudies.org/sites/hantepe
114,Ciftlik Tepe ,39.815733,26.57035,2,Aslan and Bieg 2003; Cook_1973a; Cook_1973b,Canakkale,Bayramic,https://www.geonames.org/316610,https://www.geonames.org/304827,,https://luwianstudies.org/sites/ciftlik-tepe
115,Dalyan,39.76335,26.15115,2,Aslan and Bieg 2003; Cook_1973a; Cook_1973b,Canakkale,Dalyan,https://www.geonames.org/319638,https://www.geonames.org/322819,,https://luwianstudies.org/sites/dalyan
116,Kumbet Kocabahce ,39.7649,26.239617,2,Aslan and Bieg 2003; Cook_1973a; Cook_1973b,Canakkale,Kemalli,https://www.geonames.org/301412,https://www.geonames.org/304827,,https://luwianstudies.org/sites/kumbet-kocabahce
117,Besik Tepe (Kolonai) ,39.70885,26.159917,2,Calvert 1860; Cook_1973a; Pavuk and Schubert_ 2014,Canakkale,Ezine,https://www.geonames.org/9888292,https://www.geonames.org/304827,,https://luwianstudies.org/sites/besik-tepe-kolonai
118,Asartepe (in Gelibolu) ,40.2708,26.487917,2,"Ozdogan_1981/1982; Ozdogan 1986, Ozbek_2008",Canakkale,Gelibolu,https://www.geonames.org/8632582,https://www.geonames.org/749780,,https://luwianstudies.org/sites/asartepe-in-gelibolu
119,Savrantepe,39.832267,26.320933,,Aslan and Bieg 2003; Pavuk and Schubert_2014,Canakkale,Camkoy,https://www.geonames.org/10262823,https://www.geonames.org/317109,,https://luwianstudies.org/sites/savrantepe
120,Bozyer,38.5642,28.02925,2,"Cilingiroglu Unlusoy_2015; Roosevelt_2009; Roosevelt_2010, Roosevelt_2011",Manisa,Salihli,https://www.geonames.org/411563,https://www.geonames.org/315202,,https://luwianstudies.org/sites/bozyer
121,Gavurtepe-Alasehir,38.3391,28.520033,2,Meric_1989; Meric _1990; Meric _1992; Meric _1993,Manisa,Seyh Sinan,https://www.geonames.org/299427,https://www.geonames.org/304827,,https://luwianstudies.org/sites/gavurtepe-alasehir
122,Akhisar Hoyuk,38.889696,27.825206,2,French_1969; Akdeniz_2009,Manisa,Hurriyet,https://www.geonames.org/738303,https://www.geonames.org/325303,,https://luwianstudies.org/sites/akhisar-hoyuk
123,Dagdeviren Ciftligi Hoyuk,38.904017,27.794767,2,French_1969; Akdeniz_2009,Manisa,Akhisar,https://www.geonames.org/10009670,https://www.geonames.org/325303,,https://luwianstudies.org/sites/dagdeviren-ciftligi-hoyuk
124,Camonu (Karasonya),38.971108,27.889702,2,Akdeniz_2009; Dinc_1997,Manisa,Camonu,https://www.geonames.org/299422,https://www.geonames.org/315202,,https://luwianstudies.org/sites/camonu-karasonya
125,Mecidiye (Palamut) Hoyuk ,38.888267,27.67405,2,French_1969; Akdeniz_2009,Manisa,Mecidiye,https://www.geonames.org/8227239,https://www.geonames.org/304827,,https://luwianstudies.org/sites/mecidiye-palamut-hoyuk
126,Tepebaglar Hoyuk ,38.8569,27.694683,2,Akdeniz_2009,Manisa,Kayislar,https://www.geonames.org/299438,https://www.geonames.org/304827,,https://luwianstudies.org/sites/tepebaglar-hoyuk
127,Bagcesme Hoyuk ,38.997645,27.781319,2,Akdeniz_2009,Manisa,Tutenli,https://www.geonames.org/309361,https://www.geonames.org/298299,,https://luwianstudies.org/sites/bagcesme-hoyuk
128,Degirmentepe (Suleymanli) ,39.005065,27.786663,2,French_1969; Akdeniz_2009,Manisa,Tutenli,https://www.geonames.org/318264,https://www.geonames.org/304827,,https://luwianstudies.org/sites/degirmentepe-suleymanli
129,Arpali 1 Hoyuk ,38.7605,27.702333,2,French_1969; Akdeniz_2009,Manisa,Kemiklidere,https://www.geonames.org/749714,https://www.geonames.org/317109,,https://luwianstudies.org/sites/arpali-1-hoyuk
130,Bedeller (Orentepe) Hoyuk ,38.6884,27.7525,2,French_1969; Akdeniz_2009,Manisa,Bedeller,https://www.geonames.org/322247,https://www.geonames.org/747712,,https://luwianstudies.org/sites/bedeller-orentepe-hoyuk
131,Kayislar Hoyuk ,38.856855,27.69483,2,French_1969; Akdeniz_2009,Manisa,Kayislar,https://www.geonames.org/12207217,https://www.geonames.org/311046,,https://luwianstudies.org/sites/kayislar-hoyuk
