lat,lon,country,site_name,site_type,feature_type,n_dates
51.9167,11.1833,DE,"Deesdorf, Pfingstberg",single grave,single grave,5
47.6132,9.65,DE,Degersee,,,21
48.8167,12.8833,DE,Deggendorf (Sommersdorf),single grave,single grave,5
53.0333,9.9,DE,Deimern 42 (quadrate III-E),,,3
51.545,8.0937,DE,Deiringsen-Ruploh,settlement,settlement,18
51.8667,4.1527,DE,"Derenburg, Steinkuhlenberg",enclosure,enclosure,6
49.0375,11.587,DE,Dietfurt,settlement,settlement,15
47.7386,9.16,DE,Dingelsdorf-Seewiesen,,,4
47.7379,9.1611,DE,Dingelsdorf-UnterrieÃŸ,,,8
51.8333,4.1316,DE,Ditfurt,non-megalithic chambered grave,non-megalithic chambered grave,1
47.8918,12.1485,DE,Dobl,enclosure,enclosure,11
51.007,11.6638,DE,Dornburg,single grave,single grave,8
51.5121,7.3808,DE,Dortmund-Oespeler Bach,,,20
50.9958,13.7889,DE,Dresden-Nickern,settlement,settlement,14
51.0073,13.7953,DE,Dresden-Prohlis,,,6
54.2908,13.1601,DE,Drigge,,,9
51.8167,4.1528,DE,"Drosa, Küsterberg",single grave,single grave,9
51.5167,10.2833,DE,Duderstadt,settlement,settlement,8
51.4333,6.75,DE,Duisburg-Kaiserberg,,,2
52.565,7.8771,DE,Durchhorn,miscellaneous,miscellaneous,2
51.3667,13.1667,DE,Dürrenberg,,,2
53.6833,10.5333,DE,Duvensee,settlement,settlement,91
48.8853,8.9962,DE,Eberdingen-Hochdorf,settlement,settlement,20
50.4001,8.9499,DE,Echzell/Wannkopf,settlement,settlement,12
53.6634,8.8025,DE,Eekholtjen,,,4
51.9438,11.4326,DE,Egeln,single grave,single grave,24
49.5275,10.3432,DE,"Egersheim, Dolinenfeld",settlement,settlement,6
47.6734,9.1586,DE,Egg-Obere GÃ¼ll I,,,5
48.4156,9.9215,DE,Ehrenstein,settlement,settlement,67
52.1471,11.2103,DE,Eilsleben,settlement,settlement,47
51.8167,9.8667,DE,"Einbeck, Kühner Höhe",enclosure,enclosure,36
51.7599,9.9293,DE,Einbeck-Druber,,,3
52.1558,10.8161,DE,Eitzum,,,9
52.1385,10.8184,DE,Eitzum 2,settlement,settlement,41
52.2333,11.6167,DE,Elbeu,settlement,settlement,4
54.333,10.133,DE,Ellerbek,,,6
52.1689,7.5342,DE,Emsdetten,,,6
48.8353,10.5833,DE,Enkingen,settlement,settlement,35
50.9833,11.0333,DE,Erfurt,single grave,single grave,8
51.0224,10.992,DE,Erfurt-Gispersleben,settlement,settlement,22
49.527,10.3429,DE,"Ergersheim, Dolinenfeld",settlement,settlement,33
48.5543,12.1602,DE,"Ergolding, Fischergasse",settlement,settlement,40
48.5765,12.171,DE,Ergolding-LA26,settlement,settlement,22
50.9667,10.8833,DE,Ermstedt,single grave,single grave,7
51.4235,11.6749,DE,Esperstedt,,,24
51.6333,8.7667,DE,Etteln,gallery grave,gallery grave,5
50.9765,11.9438,DE,Etzdorf,single grave,single grave,8
51.1677,11.8475,DE,Eulau,grave (flat) inhumation,grave (flat) inhumation,6
53.1478,8.1475,DE,Eversten 3,miscellaneous,miscellaneous,2
48.1,9.0761,DE,Falkensteinhöhle,b,b,8
53.2671,14.0054,DE,Falkenwalde,miscellaneous,miscellaneous,8
54.9832,9.1333,DE,Fedderingen Wurth,,,12
51.2,10.4333,DE,Felchta,settlement,settlement,5
48.6,10.8,DE,Felsställe,,,1
53.0302,14.1671,DE,Flemsdorf,settlement,settlement,4
54.25,10.0667,DE,Flintbek,settlement,settlement,68
48.72,13.1204,DE,Flintsbach-Hardt,,,5
53.6667,8.8167,DE,Flögeln,settlement,settlement,49
49.6915,8.1525,DE,Flomborn,single grave,single grave,8
48.5171,10.051,DE,Fohlenhaus,,,6
47.638,10.766,DE,Forggensee 2,,,2
50.9833,2.0424,DE,Forst Leina,single grave,single grave,6
50.9667,12.5167,DE,Forst Leinau,single grave,single grave,2
53.5333,11.7833,DE,Frauenmark,passage grave,passage grave,5
50.3303,8.7621,DE,Friedberg,settlement,settlement,4
52.7333,12.5833,DE,Friesack,rockshelter/cave,rockshelter/cave,200
52.7398,12.5783,DE,Friesack 4,settlement,settlement,38
51.0468,6.5745,DE,Frimmersdorf,settlement,settlement,12
54.42,9.4,DE,Fuchsberg,settlement,settlement,9
51.0667,6.5,DE,Garzweiler,,,5
51.8221,11.2866,DE,Gatersleben,settlement,settlement,10
48.5484,8.8737,DE,Gäufelden-Tailfingen,,,6
48.816,12.3918,DE,Geiselhöring-Süd,settlement,settlement,15
48.7995,9.0632,DE,Gerlingen,grave,grave,12
52.1667,11.75,DE,Gerwisch,miscellaneous,miscellaneous,4
52.04,7.65,DE,Gittrup,single grave,single grave,8
53.3833,14.2667,DE,Glasow,settlement,settlement,4
52.2385,11.696,DE,"Glindenberg, Elbeufer",,,3
54.0736,12.5293,DE,Gnewitz,passage grave,passage grave,4
49.836,8.4996,DE,Goddelau,settlement,settlement,27
51.6743,11.9878,DE,Görzig-Reinsdorf,single grave,single grave,4
51.533,9.933,DE,Göttingen/Hagenberg,settlement,settlement,3
51.2167,3.4973,DE,Greußen,single grave,single grave,7
50.4397,8.7048,DE,Griedel,,,2
