lat,lon,country,site_name,site_type,feature_type,n_dates
46.44,-0.87,FR,Les Sables de Loi,,,4
46.493,-1.7955,FR,Les Sables d'Olonne la Plage,,,4
48.16,3.26,FR,Les Sablons,,,12
46.4333,5.3333,FR,Les Teppes Grotte,,,9
44.35,4.4,FR,Les Trespasse Labastide de Virac,,,4
44.1039,3.07,FR,Les Truels II,,,3
43.98,3.25,FR,Les Usclades,,,14
45.84,5.03,FR,Les Vernes,,,4
44.8036,4.9778,FR,Les Vignarets,settlement,settlement,2
48.91,2.79,FR,Lesches â€“ PrÃ©s du Refuge,,,11
46.61,0.36,FR,L'Essart,,,4
42.9333,3.05,FR,Leucate,,,2
43.25,2.71,FR,l'Horte,,,4
48.96,1.09,FR,L'Hotel Dieu,,,5
48.63,2.55,FR,Lieusaint,,,12
48.57,-1.85,FR,Lillemer,,,24
43.0673,2.226,FR,"Limoux, notre dame de Marceille",,,5
48.2167,-3.1333,FR,Liscuis I,gallery grave (v-formed),gallery grave (v-formed),12
42.45,2.0667,FR,Llo-Lladre,,,29
42.45,2.075,FR,LO PLA DEL BACH,,,8
47.5715,-2.9497,FR,Locmariaquer,passage grave in rou tumulus,passage grave in rou tumulus,61
45.68,-0.93,FR,Logis de la Lande,,,5
43.6855,6.8242,FR,Lombard (Grotte),,,4
48.98,1.18,FR,Long Buisson,,,14
44.8833,4.1,FR,Longetraye,shelter,shelter,41
50.01,1.98,FR,Longpré-les-Corps-Saints,settlement,settlement,2
49.3572,2.7184,FR,Longueil-Sainte-Marie,,,9
43.3333,-0.4,FR,Lons,tumulus,tumulus,7
43.4932,6.3616,FR,Lorgues dolmen de Roque d'Aille,,,4
47.0,-0.1,FR,Loubressac,cave,cave,16
48.3833,2.3833,FR,L'OUCHE DE BEAUCE,,,4
43.77,5.35,FR,Lourmarin Les Lauzieres,,,9
49.2135,1.1647,FR,Louviers Â«Â VillettesÂ Â»,,,33
44.75,-0.16,FR,"Lugasson, Roquefort",,,8
50.71,2.12,FR,Lumbres- La Montagne,,,8
44.61,4.47,FR,Lussas Aven Jacques,,,7
49.97,2.68,FR,MÃ©aulte,,,12
46.08,4.06,FR,MABLY,,,4
45.7687,3.238,FR,Machal,,,3
46.99,-1.81,FR,"Machecoul, Prises",,,12
47.81,3.56,FR,MACHERIN,,,22
43.3,2.82,FR,Mailhac saint jean de Cas,,,4
45.6602,-0.18,FR,"Mainxe, Montagant",,,4
45.66,-0.18,FR,"Mainxe, Montagant  I Est",,,10
49.65,5.05,FR,Mairy,settlement,settlement,40
48.11,2.11,FR,Maison Rouge,non-megalithic collective grave rave,non-megalithic collective grave rave,8
48.82,2.41,FR,Maisons-Alfort,,,3
44.158,3.9982,FR,Malausette,,,15
48.2946,2.4145,FR,"Malesherbes \""""la Chaise\""""",,,8
47.46,7.24,FR,Mannlefelsen,shelter,shelter,21
49.8667,2.35,FR,Marais,open-air,open-air,6
45.7924,5.822,FR,"Marais de la Chatière, Rive 3",,,2
49.9833,2.0667,FR,Marais d'Hangest-sur-Somme,,,11
48.93,2.86,FR,Mareuil-lès-Meaux,b,b,8
45.46,6.213,FR,"Marlens, Sur les Barmes, Haute-Savoie",,,1
49.06,6.15,FR,Marly,,,4
48.38,3.03,FR,Marolles-sur-Seine â€“ La Croix de la Mission,open-air,open-air,22
44.9167,1.1167,FR,"Marquay, Grotte des Partisans",,,3
43.33,5.06,FR,Martiques La Couronne,,,16
43.5745,3.4629,FR,Mas de Pascal,,,3
43.273,-1.4147,FR,Méatsé 11,,,6
43.1833,2.8466,FR,Médor à Ornaison,,,5
47.47,-0.56,FR,Megalithe du Château,dolmen,dolmen,14
43.0804,-1.3414,FR,Méhatzé 5,,,3
48.45,7.54,FR,Meistratzheim,enclosure,enclosure,16
44.24,4.37,FR,Mejanes Le Clap grotte de Theris,,,12
48.53,2.64,FR,Melun,b,b,4
49.41,4.01,FR,"Menneville, Derrière le Village",settlement,settlement,27
48.8333,4.0,FR,"Mesnil-sur-Oger, Les Mournouards",,,3
46.49,5.72,FR,Meussia,,,5
44.17,3.43,FR,Meyrueis â€“ Jas del Biau,,,4
43.42,3.5,FR,"Meze, Raffegues",,,4
43.0099,-1.0308,FR,Millagate 5,,,3
43.3356,-5.0003,FR,Mina El Milagro,,,8
43.55,4.9833,FR,Miouvon,,,2
49.153,6.102,FR,Mondelange,grave (inhumation),grave (inhumation),3
49.26,6.17,FR,Mondelange - La Sente,,,40
49.175,-0.2863,FR,Mondeville Â«Â EtoileÂ Â»,,,4
49.1542,-0.3272,FR,Mondeville Â«Â Haut-Saint-MartinÂ Â»,,,4
48.4333,7.4,FR,Mont Sainte-Odile,,,5
44.18,5.2,FR,Mont Ventoux 5,,,23
48.85,3.97,FR,Mont-Aime II Salle 1,,,4
47.3,6.8333,FR,Montandon,shelter,shelter,10
49.3,3.5833,FR,Montbani,open-air,open-air,12
47.65,6.83,FR,Montbelliard,,,3
42.48,2.65,FR,Montbolo,,,11
44.26,4.39,FR,"Montclus, grotte du Prevel",,,5
44.25,4.43,FR,"Montclus, grotte du Traves",,,5
44.54,4.73,FR,"Montelimar, Le Gournier",,,21
45.66,-0.47,FR,"Montils, Moulin de Vent",,,4
42.65,2.68,FR,Montiou,passage grave in long tumulus,passage grave in long tumulus,31
44.67,5.38,FR,Montmour an Diois Antonnaire,,,9
44.68,5.34,FR,Montmour Le Fournet,,,8
43.57,3.96,FR,Montpellier Richemont,,,8
44.12,3.22,FR,Montpellier-le-Vieux â€“ Les Privats,,,4
43.3667,3.5667,FR,Montpenédre,,,54
43.78,6.09,FR,Montpezat grotte Muree,,,9
43.48,-1.55,FR,Mouligna,,,4
47.0442,6.6328,FR,Moulin Bournez,,,3
43.2333,-0.1833,FR,Moulin de Géline,,,6
43.45,1.32,FR,Moulin De La Garonne,,,4
47.01,1.59,FR,Moulins-sur-CÃ©phons â€“ Les ChÃ¢teliers,settlement,settlement,28
48.759,-0.0706,FR,Moulins-sur-Orne,,,5
44.05,4.89,FR,Mourre de Seve,,,14
44.03,4.84,FR,Mourre du Tendre,,,10
43.4333,4.95,FR,Mourre-Pouissou,,,5
43.18,2.65,FR,Moux les Chambres d'Alaric,,,4
48.6333,7.7,FR,Mundolsheim,settlement,settlement,5
43.44,1.31,FR,"Muret, Lapeyrere",,,4
43.4,1.65,FR,Naebons,,,27
45.84,0.14,FR,Necropole de la Boixe Dolmen C,,,4
45.6265,6.7829,FR,Necropole du Chatelard-Mollaret des Granges,,,9
45.2913,3.2024,FR,Necropole Les Lacs,,,3
48.99,2.05,FR,Neuville-sur-Oise - Chemin Fin d'Oise,,,20
48.2,1.54,FR,Neuvy-en-Dunois,non-megalithic collective grave rave,non-megalithic collective grave rave,4
42.8333,1.5833,FR,Niaux (Clastre) al,,,4
43.7107,7.2568,FR,Nice Youri,,,2
43.1846,1.6372,FR,Nicol Vieux,,,3
46.41,-0.66,FR,"Nieul-sur-l'Autise \""""Champ-Durand\""""",enclosure,enclosure,103
48.37,2.49,FR,Noisy-sur-Ecole,non-megalithic collective grave rave,non-megalithic collective grave rave,13
48.4,4.36,FR,Norrois,,,4
48.46,3.33,FR,Noyen sur seine,enclosure,enclosure,26
47.45,7.23,FR,"Oberlag, Abri du Mannlefelsen",,,2
49.02,4.05,FR,Oiry-La Goutte d'Or,,,20
44.1,4.82,FR,"Orange, La Bertaude",,,4
45.7,3.1667,FR,Orcet,,,5
45.703,3.169,FR,Orcet - Le Tourteix,,,8
47.43,-2.18,FR,Organais,,,8
45.87,-1.21,FR,"Ors, Ile d'Oleron",,,8
46.73,2.48,FR,Orval,,,4
44.3,4.4833,FR,Oullins,cave,cave,38
46.7167,4.9333,FR,Ouroux,,,18
46.72,4.95,FR,Ouroux-sur-Saône,plein air,plein air,5
43.29,2.97,FR,Ouveillan Les Courondes,,,5
43.26,2.97,FR,Ouveillan Roqevaquieres,,,4
43.3,2.97,FR,Ouveillan Valentines,,,4
41.5568,8.8869,FR,Palaggiu,alignment,alignment,8
49.14,-0.37,FR,Parc D'Activite 2000,,,9
48.82,2.22,FR,Parc du Brinborion,,,4
43.45,2.84,FR,"Pardailhan, Grotte Tournie",,,68
45.05,5.36,FR,Pas de la Charmate,shelter,shelter,40
45.19,5.49,FR,Pas de Lechelle,,,8
48.1,3.2667,FR,Passy,"non-megalithic, pit bs, rou tumulus with elongated enclosure,","non-megalithic, pit bs, rou tumulus with elongated enclosure,",13
48.111,3.305,FR,Passy Richebourg,"non-megalithic, pit bs, rou tumulus with elongated enclosure,","non-megalithic, pit bs, rou tumulus with elongated enclosure,",34
47.2167,3.0667,FR,Passy-sur-Yonne,,,4
44.6167,1.6333,FR,Pegourie,,,18
47.5367,-2.9,FR,Petit Mont,passage graves in rou tumulus over long tumulus,passage graves in rou tumulus over long tumulus,34
42.85,1.5833,FR,Petite Caougne,,,3
43.31,2.86,FR,Petite Grotte de Bize,,,8
45.5465,5.789,FR,Petite-Ile,,,5
43.68,5.66,FR,Pey De Durance,,,4
43.1972,-0.5503,FR,Peyrecor,dolmen,dolmen,20
47.51,6.8,FR,Pierre Folle,,,4
43.7,4.2833,FR,Piles Loins,,,7
43.33,5.48,FR,Pilon Du Roy,,,10
48.3709,2.9068,FR,Pincevent,open-air,open-air,26
48.3681,2.8944,FR,Pincevent IV,,,6
48.3674,2.8914,FR,"Pincevent, La Grand-Paroisse",,,5
49.19,1.17,FR,Pinterville Rue Mermoz,,,9
43.42,3.6,FR,Pioch Badieu,,,4
45.8658,6.1462,FR,Piron 2,,,2
43.5,6.3,FR,Place Saint Jean,,,4
43.5895,6.3035,FR,Plateau Saint-Pierre,,,3
48.7308,-1.3004,FR,Plomb Â«Â Champ HardyÂ Â»,,,1
48.5415,-4.6578,FR,Ploudamezeau,passage grave,passage grave,7
48.6667,-3.85,FR,Plouezoch,passage graves in long tumulus,passage graves in long tumulus,12
43.1167,-0.4333,FR,Poeymaü,abri/grotte,abri/grotte,58
47.1333,-2.2167,FR,Pointe Saint Gildas,open-air,open-air,5
46.34,-1.43,FR,Pointe-du-Groin-du-Cou,,,4
46.58,0.34,FR,Poitiers â€“ La Folie,,,8
45.3167,0.6,FR,Pont d'Ambon,,,20
43.29,3.34,FR,Pont de Roque Haute,settlement,settlement,15
49.3014,2.6403,FR,Pontpoint,,,6
48.51,3.59,FR,Pont-sur-Seine - Haut de Launoy,,,24
47.3333,-2.8833,FR,Pors Nehue (Hœdic),open-air,open-air,9
43.57,3.9,FR,Port Ariane 2,,,4
45.94,-1.0847,FR,Port des Barques Piedemont,,,4
46.05,-1.08,FR,Port Punay,,,4
43.5742,3.9028,FR,Port-Ariane III,,,6
49.24,1.25,FR,Portejoie,"non-megalithic gallery grave, subterranean","non-megalithic gallery grave, subterranean",14
49.2583,1.2504,FR,Portejoie Â«Â Les VallÃ©es 2011Â Â»,,,8
43.31,3.33,FR,"PORTIRAGNES, Peiro Signado",,,7
49.3054,1.2435,FR,Poses,settlement,settlement,19
49.2866,1.2346,FR,Poses Â«Â Clos St-QuentinÂ Â»,,,8
49.3052,1.2432,FR,Poses Â«Â sur la mareÂ Â»,,,15
43.12,5.79,FR,Poudriere,,,5
44.307,3.458,FR,Prades aven des Corneilles,cave/rockshelter,cave/rockshelter,5
45.5829,5.6367,FR,Pre Brule,,,3
46.2667,4.8,FR,Pré de la Chapelle,,,3
45.7939,5.4418,FR,Pré de la Cour,,,18
43.0667,-0.4667,FR,Prédigadère à Castet,,,2
45.6701,-0.6168,FR,Preguillac le Taillis,,,4
49.109,2.2623,FR,"Presles, La Pierre Plate",,,4
44.95,1.67,FR,Puy D'Issoloud,,,4
45.1,1.41,FR,Puy Du Fournet,,,4
45.7,3.1,FR,Puy Saint-André,,,3
48.8567,2.3508,FR,Quai Branly,,,8
47.8139,-4.2516,FR,Quélarn,passage grave,passage grave,3
45.81,-0.37,FR,Quéroy,,,6
48.47,-3.79,FR,Quillien,,,5
43.63,3.43,FR,Quintarie,,,8
50.19,3.17,FR,Raillencourt Ste Olle,,,22
43.79,7.4,FR,Rastel,b,b,3
45.19,4.86,FR,Raverre,,,5
45.7167,3.15,FR,Ravin de Mardou,,,3
43.89,6.23,FR,Ravin de Mouresse Boline,,,4
48.63,7.75,FR,Reichstett,settlement,settlement,10
48.64,7.75,FR,Reichstett â€“ Les AmpÃ¨res,,,4
49.65,4.99,FR,Remilly Aillicourt la bonne Fache,,,5
43.94,4.56,FR,Remoulins â€“ Grotte de la Sartanette,,,4
43.9486,4.5369,FR,Remoulins grotte de la Salpetriere,,,8
43.9475,4.5355,FR,Remoulins La Sartanette,,,2
41.62,8.95,FR,Renaghju,plein air,plein air,11
49.9166,2.25,FR,Renancourt,,,2
46.3403,6.3919,FR,Résidence de Songy,,,1
48.0709,7.5358,FR,Residence des Tilleuls,,,6
48.8026,-0.1303,FR,Ri et Ronai (Orne) «Le Fresne»,,,113
48.05,7.32,FR,Riffat,tumulus,tumulus,2
45.892,3.1101,FR,Riom Peer II,,,9
47.74,7.39,FR,Rixheim - ZAC du Petit Prince,,,8
44.39,4.93,FR,Roaix hypogee de Grillon,hypogeum,hypogeum,4
44.6,1.0167,FR,Roc Allan,shelter,shelter,6
42.87,2.43,FR,Roc den Bertran,shelter,shelter,6
43.2341,2.4034,FR,Roc D'en Gabit,,,16
43.9544,3.1962,FR,Roc Troue,,,7
43.98,3.13,FR,Roc Trouer,,,1
48.5929,-4.6131,FR,Roc'h Avel,,,4
48.2833,2.6,FR,Roche au Diable,shelter,shelter,5
45.9833,1.05,FR,Roche aux Fées,,,4
47.0667,6.6667,FR,Roche aux Pêcheurs,abri/grotte,abri/grotte,14
45.81,5.47,FR,Roche Noire,,,38
47.45,6.59,FR,Rochedane,shelter,shelter,32
48.01,-0.39,FR,Rocherfort Grotte,,,10
45.75,5.95,FR,Romains,cave,cave,24
44.9833,1.0667,FR,Roque Saint Christophe,,,9
43.2471,1.6698,FR,Roquefort,,,3
43.83,5.31,FR,Roquefure,abri/grotte,abri/grotte,6
44.4,2.75,FR,Roquemissou,cave,cave,43
44.3333,2.5667,FR,Roquemissou Abri n° 1 des Usclades,,,8
48.4167,7.4333,FR,Rosheim,,,3
49.2031,-0.4752,FR,Rots Â«Â La Haute BonnyÂ Â»,,,5
44.74,1.83,FR,Roucadour,abri/grotte,abri/grotte,72
43.81,3.81,FR,Rouet Januc N3,,,4
47.57,7.18,FR,Rouffach,grave (inhumation),grave (inhumation),11
45.6,1.4333,FR,Rouffignac,cave,cave,27
45.55,1.0,FR,Roulet-Saint-EstÃ¨phe â€“ Les Arnauds,,,4
45.5833,0.05,FR,Roullet-Saint-EstÃ¨phe - Les Arnauds,,,4
48.97,2.9,FR,Route de Varreddes,,,11
44.6564,4.918,FR,"Roynac, Le Serre I",,,3
47.8,3.56,FR,Rue de Bonn,,,80
49.18,-0.28,FR,Rue De L'Eglise des Cites,,,4
46.7409,5.4955,FR,Ruffey sur Seille,,,7
46.75,5.51,FR,Ruffey-sur-Seille,hearth,hearth,14
44.3221,1.7774,FR,"Saillac, la perte du Cros",cave/rockshelter,cave/rockshelter,4
45.186,0.4907,FR,"Saint  Aquillin, grotte des Barbilloux",,,4
45.7167,5.4833,FR,Saint Alban,,,21
43.46,2.1,FR,Saint Amancet grotte de roquemaure,,,5
43.6437,1.4749,FR,"Saint Caprais, L'Union",,,3
43.6507,6.7986,FR,Saint Cezaire dolmen du Prignon,dolmen,dolmen,5
43.83,4.2,FR,Saint Come et Maruejols Bois Sacre,,,4
48.23,3.27,FR,Saint Denis les Sens,,,12
44.0089,5.1017,FR,Saint Didier La Rambaude,,,8
44.6,4.36,FR,Saint Etienne de Fontbellon Gaude,,,4
46.91,2.44,FR,Saint Germain des Bois,,,4
43.93,3.0,FR,Saint Jean et Saint Paul grotte des Treilles,,,4
47.76,-1.97,FR,Saint Just,,,4
45.1154,0.4991,FR,"Saint Leon sur l'Isle, Fontaine de la Demoiselle",,,16
44.303,4.568,FR,"Saint Marcel d'Ardeche, Bidon",,,7
43.89,3.51,FR,Saint Maurice de Navacelle grotte des Serpents,,,15
45.249,4.32,FR,"Saint Meard de Dronne, le Gros Bost",,,12
43.86,3.39,FR,Saint Michel d'Alajou Soulatget,,,4
43.62,1.4,FR,Saint Michel-de-Touch,,,57
43.88,5.66,FR,Saint Mitre:abri 3,cave/rockshelter,cave/rockshelter,20
44.57,5.27,FR,Saint Nazaire-le-desert Trou Arnaud A,,,16
44.27,4.59,FR,Saint Paulet de Caisson Les Bruyeres,,,4
44.23,3.27,FR,Saint Pierre des Tripiers Baoumas,,,4
43.6576,2.4447,FR,Saint Pons de Mauchiens Roquemengarde,,,16
43.5,2.75,FR,Saint Pons grotte du Poteau,,,4
43.49,2.76,FR,Saint Pons grotte du Resplandy,,,4
45.7121,4.9179,FR,Saint Priest Minerve,,,9
45.76,5.22,FR,Saint Romain de Jalionas,,,4
45.6475,-0.0756,FR,Saint Simon-l’Ile des Bois,,,2
43.42,3.41,FR,Saint Thibery Mourre,,,4
45.1895,4.8615,FR,Saint Uze Raverre,,,8
48.4017,-1.3281,FR,Saint-Ã‰tienne-en-CoglÃ¨s,settlement,settlement,3
45.5666,5.8,FR,"Saint-Alban-Montbel, Lac d'Aiguebelette",,,2
44.36,3.24,FR,Sainte Enimie â€“ Dignas,,,4
48.0,7.38,FR,Sainte-Croix-en-Plaine - Holzackerfeld,,,4
45.7227,-0.635,FR,"Saintes, Diconche",,,57
45.4984,-0.2476,FR,Saint-Eugene Font-Blanche,,,4
46.35,-0.44,FR,Saint-Gelais â€“ DerriÃ¨re La Garenne du Coteau,,,32
48.97,4.29,FR,Saint-Gibrien â€“ DerriÃ¨re Les Grands Clos,,,16
48.73,-1.51,FR,Saint-Jean-le-Thomas â€“ Plage de Pignochet,,,4
48.0333,3.3,FR,Saint-Julien-du-Saut,,,3
43.55,5.52,FR,Saint-Marc,dolmen,dolmen,4
47.8,-2.41,FR,Saint-Marcel - Le Bourg,,,4
47.18,-2.14,FR,Saint-Michel-Chef,,,19
48.9,5.55,FR,Saint-Mihiel,mine,mine,8
48.31,-3.15,FR,Saint-Nicolas-du-Pelem - Croaz Dom Henry,,,8
49.11,1.43,FR,Saint-Pierre-d'Autils â€“ CarriÃ¨re GSM,,,4
49.4953,0.3602,FR,Saint-Vigor-d'Ymonville,,,17
49.8667,2.25,FR,Saleux,open-air,open-air,19
43.4667,-0.9167,FR,Saliés-de-Béarn,,,3
43.32,2.42,FR,"Salleles, Cabardes grotte des Cazals",,,5
43.9333,4.5667,FR,Salpetriere,,,44
47.35,-2.34,FR,Sandun,settlement,settlement,12
44.6833,1.7167,FR,Sanglier,cave,cave,32
48.7147,-0.0348,FR,Sarceaux,tumulus with central pit grave a possible dry wall passage grave,tumulus with central pit grave a possible dry wall passage grave,9
44.5256,6.4049,FR,Savines-le-Lac,,,3
43.7167,7.0667,FR,SCHLUMBERGER,,,4
48.75,7.6,FR,Schwindratzeim,,,1
50.54,3.01,FR,Seclin Les Euwis,,,4
45.62,-0.22,FR,"Segonzac, Fonte-Belle",plein air,plein air,13
43.68,1.37,FR,"Seilh, chateau Percin",,,127
48.26,-3.07,FR,Seledin,,,24
45.6,-0.92,FR,"Semussac, Chez Reine IX, 2",,,4
49.068,2.002,FR,Sente Saillancourt,,,4
45.75,5.7,FR,Seuil des Chèvres,shelter,shelter,11
45.8607,6.1457,FR,Sévrier,,,6
47.6545,7.4547,FR,Sierentz,grave (inhumation),grave (inhumation),15
47.65,7.46,FR,SIERENTZ,,,4
44.6006,1.6505,FR,Sindou,,,2
45.65,-0.08,FR,SM 15 HAUTE MOURE,,,8
43.0776,-1.2237,FR,Sohanid II,,,3
48.8744,6.2081,FR,Solblanck,,,5
45.5151,-1.1233,FR,Soulac sur mer la Balise,,,4
48.9706,-0.2173,FR,Soumont-Saint-Quentin,,,44
45.85,5.7833,FR,Sous Balme,,,3
45.7211,5.8808,FR,Sous Cotefort,,,1
45.8786,5.3697,FR,Sous Le Pin,,,3
46.0333,5.7667,FR,Sous-Sac,abri/grotte,abri/grotte,4
44.883,4.846,FR,Soyons abri Moula,,,4
49.21,-0.4,FR,St Contest-L'Ormelet,,,8
43.6737,3.821,FR,"ST Gely du Fesc """"Les Vautes""""",,,5
45.76,4.83,FR,"St Jerome, Jean Jaures",,,4
44.1126,2.3937,FR,St Martin des Faux III,,,4
48.89,5.54,FR,St. Mihiel,,,7
44.18,5.5,FR,Station du Moulin,,,2
47.5,5.68,FR,Sur la Noue la Lande,,,5
47.3334,5.0841,FR,Sur le Petit Pre 1,,,6
47.33,5.08,FR,Sur le Petit Pres 2,,,5
47.3321,5.0819,FR,Sur le Pre Crot 1,,,3
45.1696,5.4503,FR,Sur les Barmes,,,4
47.85,3.56,FR,Sur Macherin,,,95
46.1,-0.75,FR,SurgÃ¨res - La Grange,,,4
47.5714,-2.9497,FR,Table des Marchands,passage grave in rou tumulus,passage grave in rou tumulus,35
46.4661,-1.6183,FR,Talmont-Saint-Hilaire Pointe du Veillon,,,4
47.17,-0.4,FR,TANCOIGNE,,,5
47.0413,5.4217,FR,Tavaux Aerodrome,,,11
44.0126,4.6977,FR,Tavelet,,,3
46.58,0.35,FR,TERRE QUI FUME,,,10
44.4621,1.4513,FR,Terre Rouge,,,3
48.3333,3.0667,FR,TERRES DE PREPOUX,plein air,plein air,8
47.56,-3.16,FR,Téviec,b,b,14
45.7333,5.65,FR,Thoys,cave,cave,12
45.45,6.65,FR,Tincave-la -Piat,,,5
49.2333,3.9833,FR,Tinqueux,hypogeum,hypogeum,2
43.6008,4.0386,FR,Tonnerre I,,,3
47.8167,-4.3333,FR,Torche,open-air,open-air,8
47.3,0.91,FR,Touche Morin,,,5
49.244,6.2377,FR,TrÃ©mery-FlÃ©vy,single grave,single grave,3
43.8395,5.2071,FR,Travers des Baguarettes,,,3
43.2159,2.4462,FR,"Trebes """"Le Mourral""""",,,15
49.21,6.21,FR,Tremery Site 1,,,5
45.77,3.08,FR,Tremonteix,,,8
44.07,3.39,FR,"Treves, Grotte du Pas du Joulie",,,5
49.4,2.9667,FR,Trosly-Breuil,settlement,settlement,9
49.405,2.991,FR,"Trosly-Breuil \""""Les Obeaux\""""",settlement,settlement,6
46.74,5.63,FR,Trou Souffleur,,,4
47.91,7.29,FR,Trummelmatten,,,5
47.8987,4.5379,FR,Tumulus 2 de Vix,,,3
47.8989,4.5401,FR,Tumulus 4 de Vix,,,3
47.899,4.536,FR,Tumulus 6 de Vix,,,3
47.284,5.0617,FR,Tumulus A de Longvic-les-Dijon,,,3
47.6239,4.5631,FR,Tumulus de Chaume-lès-Baigneux,,,3
45.0493,1.4997,FR,Tumulus de Reyjades,,,6
49.1,-0.3666,FR,Tumulus des La Hoguette,"non-megalithic passage grave, dry wall in rou tumulus","non-megalithic passage grave, dry wall in rou tumulus",4
44.41,3.46,FR,Tumulus du Devez Viel,,,5
45.4333,4.15,FR,"Tumulus E, n° 1",,,1
48.15,-3.83,FR,"Ty Floc´h, St. Thois",passage grave,passage grave,8
43.0598,-1.2675,FR,Urdanarre Nord 1,,,3
43.0582,-1.2688,FR,Urdanarre Sud 1,,,3
49.26,1.24,FR,"Val de Reuil, Les Florentin",,,15
49.2884,1.2528,FR,Val-de-Reuil Â«Â Butte St-CyrÂ Â»,,,15
50.34,3.5,FR,Valenciennes â€“ Rue Jean Bernier,,,11
44.38,4.4,FR,Vallon pont d'Arc grotte du maquis CV,,,4
48.82,3.88,FR,Vase de Baye,,,4
43.5553,5.6021,FR,Vauvenargues La Cascade,,,4
46.7477,4.8978,FR,Vauvretin,,,2
44.98,2.53,FR,Velzic â€“ Les Baraquettes,,,4
48.6688,7.7,FR,Vendenheim,single grave,single grave,5
45.698,4.8843,FR,Vénissieux,,,3
49.34,2.75,FR,Verberie,b,b,4
44.2966,5.3643,FR,Vercoiran Saint Luce,,,4
49.84,2.23,FR,Vers-sur-Selles,gallery grave,gallery grave,14
45.2506,-0.835,FR,"Vertheuil, le Peuilh",,,12
45.6,-0.05,FR,Vibrac la Grande Prairie,,,8
45.9167,6.28,FR,Vieille Eglise,cave,cave,7
49.3611,-1.2453,FR,Vierville Â«Â La Butte Ã  LuzerneÂ Â»,,,20
49.25,6.15,FR,VIEUX MANOIR TALANGE,,,4
48.77,5.6,FR,Vignot â€“ Les Tranchons,,,17
44.96,-0.3,FR,"Villegouge, Roanne",,,5
43.5,1.3333,FR,Villeneuve Tolosane,,,3
43.53,1.34,FR,Villeneuve Tolosane/Cugnaux,enclosure,enclosure,60
48.34,3.08,FR,Villeneuve-la-Guyard,b,b,13
48.0833,3.3,FR,Villeneuve-sur-Yonne,,,4
43.8696,6.5794,FR,Villevielle,dolmen,dolmen,4
47.398,4.539,FR,"Vitteaux, Oppidum Myard",settlement,settlement,9
45.6037,0.1766,FR,"Voeuil et Giget, Pierre-Dure",,,4
43.76,3.73,FR,Voils en Laval Cambous,,,4
43.76,3.71,FR,Voils Le Fort Cazarils,,,16
49.388,2.1409,FR,Warluis IIc,,,11
48.56,1.64,FR,Yermenonville - La Pierre Fritte,,,8
49.73,0.31,FR,Yport,,,8
50.48,2.97,FR,Z.I. Du Chateau,,,8
48.81,2.4,FR,Zac Brandebourg,,,4
48.8,2.42,FR,Zac D'Alfort,,,21
45.75,6.29,FR,Zac de Viuz,,,5
45.7,4.95,FR,Zac des Feuilly,,,26
44.31,5.05,FR,Zac des Laurons,,,10
43.0866,-1.473,FR,Zaho 2,,,3
48.3959,7.5894,FR,Ziegelhof,,,3
43.3384,-1.58,FR,Zuhamendi 3,,,3
47.34,-2.87,FR,Hoedic,,,11
48.65,7.75,FR,Reichstett - Schamli,settlement,settlement,1
42.78,2.08,FR,Dourgne,cave/rockshelter,cave/rockshelter,31
42.6537,2.68043,FR,Grotte de Montou,cave/rockshelter,cave/rockshelter,2
42.6,2.38,FR,l'Engorner Grotte,,,3
43.22,2.35,FR,LA SALLE,,,4
43.45,5.83,FR,CHEMIN D'AIX,,,3
43.63,3.9,FR,LES JARDINS DE VERT PARC,,,3
43.4167,3.58333,FR,RAFFEGUES,,,6
43.33,2.6,FR,Balma de Labeurador,shelter,shelter,15
43.51,3.27,FR,SOURCE DE RESCLAUZE,,,3
43.519,5.314,FR,Abri des Boeufs,,,4
43.37,5.21667,FR,LE CAMP DE LAURE,,,3
43.64,5.64,FR,Le Mourre Grotte du,,,2
43.8,5.03,FR,MALVOISIN,,,3
43.9333,4.35,FR,LE CHEVAL,,,3
44.0,4.93,FR,Mourre de Seve,,,4
44.13,5.96,FR,FRIGOURAS,,,3
44.18,5.55,FR,"Station du Moulin,Barret-de-Lioure",,,6
44.3,5.35,FR,SAINTE LUCE,,,7
44.31,4.19,FR,Grotte de Chazelles,,,1
44.4167,2.73333,FR,ROQUEMISSOU,,,3
44.45,4.42,FR,"Combe Obscure, Salleles",cave/rockshelter,cave/rockshelter,6
43.65,6.6,FR,BLAGNAT,,,4
44.6833,5.33333,FR,LE FOURNET,,,3
44.87,4.08,FR,"Freycinet-La-Cuche, Longetraye",,,17
45.32,6.99,FR,LE CHATEAU,,,28
45.44,6.65,FR,CHENET DES PIERRES,,,30
45.56,6.56,FR,DOS DE BORGAZ,,,16
45.56,6.65,FR,LE REPLAT,,,24
45.78,3.08,FR,LE BREZET,,,9
45.7,4.91667,FR,SAINT PRIEST,,,3
45.7333,5.91667,FR,GRANDE BARME SAVIGNY,,,3
46.687,0.88645,FR,BOISDICHON GROTTE DE,,,8
47.5667,-2.95,FR,LOCMARIAQUER ER GRAH,,,9
47.58,-3.08,FR,"Mané-Miguel Y (Mont St. Michel, Carnac)",,,2
47.85,-2.78333,FR,LARCUSTE,,,3
48.066,7.343,FR,"Colmar \""Route de Rouffach\""",,,6
