name,lat,lon,type,classification,gc_distance_km,source,department,province,district,ubigeo,code
SITIO ARQUE,-13.280398135,-72.4502664359999,Sitio Arqueologico,site,0.04,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Pikchu,-14.0302872599999,-73.9432500249999,Sitio Arqueologico,site,0.05,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
NN,-13.0920361759999,-72.0820782339999,Sitio Arqueologico,site,0.09,INC_GeoGPSPeru,cusco,calca,lares,,
Curamba,-13.6252478119999,-73.1361253119999,Sitio Arqueologico,site,0.09,INC_GeoGPSPeru,apurimac,andahuaylas,kishuara,,
Curamba,-13.623394088800003,-73.1372018088,Sitio Arqueologico,site,0.32,MinCultura_BIP,,,,030207,
Piedras de Potongo,-13.939741077,-73.7550638369999,Sitio Arqueologico,site,0.37,INC_GeoGPSPeru,ayacucho,sucre,querobamba,,
NN,-13.4395754219999,-72.7740925259999,Sitio Arqueologico,site,0.41,INC_GeoGPSPeru,cusco,la convencion,santa teresa,,
Wankañayry,-14.035266604,-73.9448754839999,Sitio Arqueologico,site,0.46,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Apongo,-14.0202643059999,-73.9336014179999,Sitio Arqueologico,site,0.47,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Pukiopampa 3,-14.0250630269999,-73.9435146899999,Sitio Arqueologico,site,0.48,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
NN,-13.4441303949999,-72.7844087509999,Sitio Arqueologico,site,0.48,INC_GeoGPSPeru,cusco,la convencion,santa teresa,,
Wachhualla,-13.9292170589999,-73.7512792839999,Sitio Arqueologico,site,0.49,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
Pukiopampa 1,-14.0246073359999,-73.9426741619999,Sitio Arqueologico,site,0.49,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
INKARAKAY,-13.442619782,-72.7607519829999,Sitio Arqueologico,site,0.55,INC_GeoGPSPeru,cusco,anta,mollepata,,
Wachwalla,-13.9279022279999,-73.7504996569999,Sitio Arqueologico,site,0.58,INC_GeoGPSPeru,ayacucho,sucre,querobamba-san salv*,,
Chintirllapata,-13.9421070669999,-73.7545698529999,Sitio Arqueologico,site,0.62,INC_GeoGPSPeru,ayacucho,sucre,querobamba,,
Plaza Pampa,-13.8980663739999,-73.6928782729999,Sitio Arqueologico,site,0.69,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
Q'OTOLAMBRA,-13.1931440869999,-72.2937058729999,Sitio Arqueologico,site,0.73,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Wankañayry 2,-14.0359513939999,-73.9402146019999,Sitio Arqueologico,site,0.76,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Sanqasanqa 2,-14.0820099779999,-74.032158567,Sitio Arqueologico,site,0.79,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Camino antiguo Toqtosa a Potongo (punto final),-13.944061577,-73.7549296039999,Sitio Arqueologico,pathway,0.8,INC_GeoGPSPeru,ayacucho,sucre,querobamba,,
Sanqasanqa 1,-14.0831761049999,-74.0343858159999,Sitio Arqueologico,site,0.8,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Wankañayry Wayqo,-14.0379708079999,-73.9430574089999,Sitio Arqueologico,site,0.82,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
NN,-13.4453849879999,-72.7607632639999,Sitio Arqueologico,site,0.82,INC_GeoGPSPeru,cusco,anta,mollepata,,
Trankaqasa,-14.031016162,-73.9280885189999,Sitio Arqueologico,site,0.87,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
TANKAQ2,-13.2025844149999,-72.3160339419999,Sitio Arqueologico,site,0.92,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Tumbas de Wachhualla,-13.9238053219999,-73.7501607239999,Sitio Arqueologico,site,0.97,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
Wachwalla,-13.639858687,-73.1416849509999,Sitio Arqueologico,site,1.08,INC_GeoGPSPeru,apurimac,andahuaylas,kishuara,,
NN,-13.433946058,-72.7764960359999,Sitio Arqueologico,site,1.09,INC_GeoGPSPeru,cusco,la convencion,santa teresa,,
TANKAQ1,-13.2176829489999,-72.3051914909999,Sitio Arqueologico,site,1.11,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Uchkullulluq,-14.0362474329999,-73.9335183069999,Sitio Arqueologico,site,1.12,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Q'OLLPANI,-13.188118668,-72.2917329719999,Sitio Arqueologico,site,1.13,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Muyu Muyu,-14.032261537,-73.9235176789999,Sitio Arqueologico,site,1.22,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Wayllani,-14.0304953329999,-73.9166922889999,Sitio Arqueologico,site,1.38,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
NN,-13.082090885,-72.0891885799999,Sitio Arqueologico,site,1.43,INC_GeoGPSPeru,cusco,calca,lares,,
El Gramadal 25,-14.692948642,-75.317295692,Paisaje Cultural Arqueologico,landscape,1.45,MinCultura_BIP,,,,110302,
Cerro Qorikunka,-13.9190899129999,-73.750852414,Sitio Arqueologico,site,1.47,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
Cuchillucha,-14.0923977169999,-74.0389505029999,Sitio Arqueologico,site,1.48,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Terrazas 2,-13.972679722,-73.8612149389999,Sitio Arqueologico,site,1.61,INC_GeoGPSPeru,ayacucho,sucre,querobamba,,
"Witsi o Qorimarca
",-13.9508327869999,-73.7514314999999,Sitio Arqueologico,site,1.64,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
Qorikunka Qasa,-13.9164413919999,-73.7491359949999,Sitio Arqueologico,site,1.65,INC_GeoGPSPeru,ayacucho,sucre,chilcayoc,,
Ranrapukro,-13.905828981,-73.728287571,Sitio Arqueologico,site,1.67,INC_GeoGPSPeru,ayacucho,sucre,chilcayoc,,
Muyomuyo 02,-13.9501531879999,-73.7476031229999,Sitio Arqueologico,site,1.76,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
INKA CHAKA,-13.0610776649999,-72.0545180049999,Sitio Arqueologico,site,1.76,INC_GeoGPSPeru,cusco,calca,lares,,
Qoriwayrachina,-13.9515016009999,-73.7496414649999,Sitio Arqueologico,site,1.8,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
PIEDRAS GORDAS BAJO - 1056,-14.644654628166208,-75.22623635534347,SITIO ARQUEOLOGICO,site,1.82,INGEMMET,,,,,ZA004102
Muyomuyo 01,-13.9513476879999,-73.7478373369999,Sitio Arqueologico,site,1.87,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
NN,-13.02799267,-71.9936342399999,Sitio Arqueologico,site,1.96,INC_GeoGPSPeru,cusco,calca,lares,,
Pampawasi,-14.057692991,-74.0418275129999,Sitio Arqueologico,site,2.09,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
CH'ARKI KAN,-13.129978944,-72.1091854929999,Sitio Arqueologico,site,2.29,INC_GeoGPSPeru,cusco,calca,lares,,
Cruz Pata,-14.0051191179999,-73.8464174379999,Sitio Arqueologico,site,2.33,INC_GeoGPSPeru,ayacucho,sucre,querobamba,,
Aywaqupampa,-14.0392176629999,-73.914308548,Sitio Arqueologico,site,2.36,INC_GeoGPSPeru,ayacucho,víctor fajardo,asquipata,,
Habaspata,-14.360568209,-74.659592685,Sitio Arqueologico,site,2.39,INC_GeoGPSPeru,ayacucho,lucanas,ocaña,,
Choqllomarca Qucha,-14.0367522419999,-73.9069768239999,Sitio Arqueologico,site,2.47,INC_GeoGPSPeru,ayacucho,víctor fajardo,asquipata,,
PADRECHAYOC,-13.1720900489999,-72.2880098969999,Sitio Arqueologico,site,2.52,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
YAHUARHUACCAC - CCARPAMAYO,-13.226192487058828,-72.3951187669412,PAISAJE ARQUEOLOGICO,landscape,2.55,INGEMMET,,,,,ZA010794
HUARCONDO,-13.1230411649999,-72.0898681409999,Sitio Arqueologico,site,2.57,INC_GeoGPSPeru,cusco,calca,lares,,
NN,-13.0496500159999,-71.9456873689999,Sitio Arqueologico,site,2.58,INC_GeoGPSPeru,cusco,calca,lares,,
SITIO ARQUE,-13.296412228,-72.4292428049999,Sitio Arqueologico,site,2.67,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Qantupata,-13.6150145919999,-73.1686860569999,Sitio Arqueologico,site,2.71,INC_GeoGPSPeru,apurimac,andahuaylas,kishuara,,
"CAMINO PREHISPANICO:TRAMO OLLANTAYTAMBO - LARES - VALLE LACCO, SECCION HUACAHUASI-TAMBOHUAYLLA, SEGMENTO 1 HUACAHUASI-Q*",-13.13003854264445,-72.10084240394441,PAISAJE ARQUEOLOGICO,monumental,2.71,INGEMMET,,,,,ZA010542
SITIO ARQUE,-13.0546101109999,-72.0615962899999,Sitio Arqueologico,site,2.75,INC_GeoGPSPeru,cusco,calca,lares,,
Mina Primavera,-14.642152873999999,-75.125808452,Sitio Arqueologico,site,2.81,MinCultura_BIP,,,,110303,
Pampa Media Luna 1,-14.6695629569999,-75.2979307889999,Sitio Arqueologico,site,2.83,INC_GeoGPSPeru,ica,nazca,changuillo,,
NN,-13.0826323779999,-72.1189157849999,Sitio Arqueologico,site,2.87,INC_GeoGPSPeru,cusco,calca,lares,,
MARKA PUNKU,-13.1341015009999,-72.1055154029999,Sitio Arqueologico,site,2.88,INC_GeoGPSPeru,cusco,calca,lares,,
Cerro Tres Pavos 1,-14.6704713159999,-75.3016562409999,Sitio Arqueologico,site,2.92,INC_GeoGPSPeru,ica,nazca,changuillo,,
EL TEMPLO O,-13.0463800839999,-72.0495241739999,Sitio Arqueologico,monumental,2.96,INC_GeoGPSPeru,cusco,calca,lares,,
El Gramadal 4,-14.677294902,-75.316931272,Paisaje Cultural Arqueologico,landscape,2.99,MinCultura_BIP,,,,110302,
Choqllomarca 2,-14.0488839319999,-73.9208379029999,Sitio Arqueologico,site,2.99,INC_GeoGPSPeru,ayacucho,víctor fajardo,asquipata,,
NN,-13.080501797,-72.117392617,Sitio Arqueologico,site,3.0,INC_GeoGPSPeru,cusco,calca,lares,,
SITIO ARQUE,-13.0407927239999,-72.0395401589999,Sitio Arqueologico,site,3.01,INC_GeoGPSPeru,cusco,calca,lares,,
Pampa Media Luna 3,-14.6668526589999,-75.2963111529999,Sitio Arqueologico,site,3.02,INC_GeoGPSPeru,ica,nazca,changuillo,,
SITIO  ENCA,-13.2979720339999,-72.4253613469999,Sitio Arqueologico,site,3.02,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
LLAQTA MARK,-13.100265631,-72.0355042529999,Sitio Arqueologico,site,3.06,INC_GeoGPSPeru,cusco,calca,lares,,
LALEQAY,-13.114565894,-72.0633458389999,Sitio Arqueologico,site,3.07,INC_GeoGPSPeru,cusco,calca,lares,,
Pampa Media Luna 2,-14.6670311439999,-75.298140971,Sitio Arqueologico,site,3.09,INC_GeoGPSPeru,ica,nazca,changuillo,,
SITIO ARQUE,-13.0368795029999,-72.0338017369999,Sitio Arqueologico,site,3.1,INC_GeoGPSPeru,cusco,calca,lares,,
Choqllomarca,-14.050384811,-73.9208771759999,Sitio Arqueologico,site,3.14,INC_GeoGPSPeru,ayacucho,víctor fajardo,asquipata,,
Cerro Toracca o Tinajerayocc,-13.7805588029999,-73.5076043799999,Sitio Arqueologico,site,3.15,INC_GeoGPSPeru,apurimac,andahuaylas,turpo,,
Cerro Tres Pavos 2,-14.66828291,-75.3019875859999,Sitio Arqueologico,site,3.16,INC_GeoGPSPeru,ica,nazca,changuillo,,
SITIO ARQUE,-13.0372220689999,-72.0361098109999,Sitio Arqueologico,site,3.19,INC_GeoGPSPeru,cusco,calca,lares,,
Qaranqaqasa 1,-14.0468508329999,-74.0435117339999,Sitio Arqueologico,site,3.25,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Choquekancha,-13.036012398461537,-72.03543383230769,Zona Arqueologica Monumental,monumental,3.27,MinCultura_BIP,,,,080404,
NN,-13.3256991119999,-72.6072439289999,Sitio Arqueologico,site,3.33,INC_GeoGPSPeru,cusco,la convencion,santa teresa,,
Qaranqaqasa 2,-14.0453134999999,-74.0434069859999,Sitio Arqueologico,site,3.39,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Paqchani,-13.5624989329999,-73.0791628089999,Sitio Arqueologico,site,3.46,INC_GeoGPSPeru,apurimac,andahuaylas,pacobamba,,
Chilcayoc,-13.8868930639999,-73.7271416879999,Sitio Arqueologico,site,3.48,INC_GeoGPSPeru,ayacucho,sucre,chilcayoc,,
Uscarán 4,-14.0529624469999,-73.919105596,Sitio Arqueologico,site,3.48,INC_GeoGPSPeru,ayacucho,víctor fajardo,asquipata,,
Qoccqa-Pukaraqay-Paqllawi-Saramarca,-14.0199556679999,-73.8524081319999,Sitio Arqueologico,site,3.5,INC_GeoGPSPeru,ayacucho,sucre,querobamba,,
Uscarán 1,-14.0543549679999,-73.9191731469999,Sitio Arqueologico,site,3.61,INC_GeoGPSPeru,ayacucho,víctor fajardo,asquipata,,
NN,-13.0603591179999,-71.9459248989999,Sitio Arqueologico,site,3.62,INC_GeoGPSPeru,cusco,calca,lares,,
Chachaspata,-13.9638941389999,-73.7371152219999,Sitio Arqueologico,site,3.64,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
LA YERBA,-14.865662197666675,-75.56551221216667,SITIO ARQUEOLOGICO,site,3.67,INGEMMET,,,,,ZA010656
LINEAS Y GEOGLIFOS QUEBRADA YAPANA,-14.628905810406248,-75.07747528126566,PAISAJE ARQUEOLOGICO,landscape,3.84,INGEMMET,,,,,ZA010815
Pampa Media Luna 4,-14.6617712059999,-75.3035388739999,Sitio Arqueologico,site,3.88,INC_GeoGPSPeru,ica,nazca,changuillo,,
Camino Huancaray - Chilcayoc - Turpo - Belen Chalc,-13.7721794759999,-73.5061501099999,Sitio Arqueologico,pathway,3.91,INC_GeoGPSPeru,apurimac,andahuaylas,turpo,,
"GEOGLIFOS DE BOGOTALLA - TULIN, SECTORES A, B, C Y D",-14.619636788000003,-75.05723163669998,PAISAJE ARQUEOLOGICO,landscape,3.91,INGEMMET,,,,,ZA010844
Wayqo Wasipata,-14.1133962089999,-74.0314519429999,Sitio Arqueologico,site,3.93,INC_GeoGPSPeru,ayacucho,lucanas,aucara,,
WAK'A  RAQA,-13.3350926769999,-72.4791801709999,Sitio Arqueologico,site,3.99,INC_GeoGPSPeru,cusco,urubamba,machupicchu,,
ENCAUSAMIEN,-13.336770794,-72.4816722729999,Sitio Arqueologico,site,4.03,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
MACHU WASI,-13.107368629,-72.0295864619999,Sitio Arqueologico,site,4.05,INC_GeoGPSPeru,cusco,calca,lares,,
Jasiachi,-13.771615833,-73.5086044589999,Sitio Arqueologico,site,4.08,INC_GeoGPSPeru,apurimac,andahuaylas,turpo,,
NN,-13.0639614969999,-71.943664409,Sitio Arqueologico,site,4.09,INC_GeoGPSPeru,cusco,calca,lares,,
Apacheta  Rosas Pata II,-13.627474139,-73.2216533559999,Sitio Arqueologico,site,4.11,INC_GeoGPSPeru,apurimac,andahuaylas,kishuara,,
Anden de Tucuhuachana,-13.242492372857143,-72.29375605,Elemento Arqueologico Aislado,isolated_element,4.13,MinCultura_BIP,,,,081306,
Cerro Sirena o Puka Puka,-13.7793877939999,-73.5262845909999,Sitio Arqueologico,site,4.19,INC_GeoGPSPeru,apurimac,andahuaylas,huancaray,,
Colegio El Amauta,-13.967654519,-73.7335864409999,Sitio Arqueologico,site,4.19,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
Cerro Pampalla,-13.8912869939999,-73.7517511019999,Sitio Arqueologico,site,4.26,INC_GeoGPSPeru,ayacucho,sucre,chilcayoc,,
Apacheta  Rosas Pata I,-13.6270104719999,-73.2238008239999,Sitio Arqueologico,site,4.26,INC_GeoGPSPeru,apurimac,andahuaylas,kishuara,,
Lacra 8,-14.662776528571428,-75.31388761857144,Sitio Arqueologico,site,4.28,MinCultura_BIP,,,,110302,
Muyomuyo de Chilcayoc,-13.875050326,-73.7201740029999,Sitio Arqueologico,site,4.31,INC_GeoGPSPeru,ayacucho,sucre,chalcos,,
Cerro Masobamba 01,-13.895109332,-73.7602997649999,Sitio Arqueologico,site,4.31,INC_GeoGPSPeru,ayacucho,sucre,querobamba,,
Cerro Sirena - Ladera Norte,-13.770253033,-73.5104534799999,Sitio Arqueologico,site,4.31,INC_GeoGPSPeru,apurimac,andahuaylas,turpo,,
Piedra Tallada de Waqakunapata,-13.8770807139999,-73.7246691289999,Sitio Arqueologico,site,4.33,INC_GeoGPSPeru,ayacucho,sucre,chilcayoc,,
Qochawachupampa,-14.0548908259999,-73.9056593879999,Sitio Arqueologico,site,4.33,INC_GeoGPSPeru,ayacucho,víctor fajardo,asquipata,,
Asquipata,-14.0583527659999,-73.9115512969999,Sitio Arqueologico,site,4.39,INC_GeoGPSPeru,ayacucho,víctor fajardo,asquipata,,
Chumbilla Urqu,-13.9815995549999,-73.9359552559999,Sitio Arqueologico,site,4.41,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
Cerro Masobamba 02,-13.8939496689999,-73.7633689729999,Sitio Arqueologico,site,4.57,INC_GeoGPSPeru,ayacucho,sucre,querobamba,,
Muchkapata,-13.86998511,-73.716195308,Sitio Arqueologico,site,4.61,INC_GeoGPSPeru,ayacucho,sucre,chilcayoc,,
MINA  WASI,-13.3635125899999,-72.5227886279999,Sitio Arqueologico,site,4.62,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
PINCULLUNCA,-13.030629374277778,-72.05189521422224,SITIO ARQUEOLOGICO,site,4.63,INGEMMET,,,,,ZA009955
QORIWAYRACH,-13.1483899379999,-72.2840858709999,Sitio Arqueologico,site,4.66,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
NN,-13.342817453,-72.6679021169999,Sitio Arqueologico,site,4.67,INC_GeoGPSPeru,cusco,la convencion,santa teresa,,
Uchuy Wampaqasa,-13.974255222,-73.9269444709999,Sitio Arqueologico,site,4.69,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
Pampalla 02,-13.8856739649999,-73.7501617839999,Sitio Arqueologico,site,4.74,INC_GeoGPSPeru,ayacucho,sucre,chilcayoc,,
Sinqaraypata,-13.9796587579999,-73.9386859269999,Sitio Arqueologico,site,4.74,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
Qatun Orqo Pata 8,-13.9789859719999,-73.9378187909999,Sitio Arqueologico,site,4.76,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
Huancana,-14.0618765519999,-73.9111178989999,Sitio Arqueologico,site,4.76,INC_GeoGPSPeru,ayacucho,víctor fajardo,asquipata,,
Pampalla 01,-13.884491388,-73.748724578,Sitio Arqueologico,site,4.79,INC_GeoGPSPeru,ayacucho,sucre,chilcayoc,,
Tambo del Collao,-14.6764131169999,-75.1540389789999,Sitio Arqueologico,site,4.83,INC_GeoGPSPeru,ica,nasca,changuillo,,
"GEOGLIFOS DE BOGOTALLA - TULIN, SECTORES A, B, C Y D",-14.634329343749997,-75.06802064125,PAISAJE ARQUEOLOGICO,landscape,4.84,INGEMMET,,,,,ZA010844
NN,-13.328364205,-72.642915866,Sitio Arqueologico,site,4.85,INC_GeoGPSPeru,cusco,la convencion,santa teresa,,
Tambo de Pampalla,-13.8853423169999,-73.7524861949999,Sitio Arqueologico,site,4.89,INC_GeoGPSPeru,ayacucho,sucre,chalcos,,
Camino antiguo Toqtosa a Potongo (punto inicio),-13.8820364789999,-73.7459802409999,Sitio Arqueologico,pathway,4.89,INC_GeoGPSPeru,ayacucho,sucre,chilcayoc,,
Qatun Orqo Pata 6,-13.9776307359999,-73.9380101559999,Sitio Arqueologico,site,4.9,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
Rumichurco,-13.6788869069999,-73.3405570759999,Sitio Arqueologico,site,4.93,INC_GeoGPSPeru,apurimac,andahuaylas,san jeronimo,,
Tambo de Toqtoqasa,-13.8826624829999,-73.7481791849999,Sitio Arqueologico,site,4.94,INC_GeoGPSPeru,ayacucho,sucre,chilcayoc,,
NN,-13.323744754,-72.6358745619999,Sitio Arqueologico,site,4.95,INC_GeoGPSPeru,cusco,la convencion,santa teresa,,
Lacra 2-Sector 1,-14.653914628,-75.309720874,Sitio Arqueologico,site,4.96,MinCultura_BIP,,,,110302,
Observatorio,-13.72431173,-73.4325950769999,Sitio Arqueologico,site,5.0,INC_GeoGPSPeru,apurimac,andahuaylas,talavera,,
Ingenio 1,-14.6752053249999,-75.148223991,Sitio Arqueologico,site,5.0,INC_GeoGPSPeru,ica,palpa,llipata,,
QORIWAYRACH,-13.1459015479999,-72.2862517679999,Sitio Arqueologico,site,5.01,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Lacra 2 sector 2,-14.65445871,-75.31259498,Sitio Arqueologico,site,5.04,MinCultura_BIP,,,,110302,
Punsauchay,-13.765203379,-73.5155070889999,Sitio Arqueologico,site,5.06,INC_GeoGPSPeru,apurimac,andahuaylas,huancaray,,
Toqtoqasa,-13.8802667449999,-73.7463968999999,Sitio Arqueologico,site,5.09,INC_GeoGPSPeru,ayacucho,sucre,chalcos,,
Qatun Orqo Pata 3,-13.9762789779999,-73.9389976519999,Sitio Arqueologico,site,5.09,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
Geoglifos de Bogotalla,-14.632940151249999,-75.05957483187501,Sitio Arqueologico,site,5.12,MinCultura_BIP,,,,110303,
NN,-13.4619169009999,-72.7072219099999,Sitio Arqueologico,site,5.12,INC_GeoGPSPeru,cusco,anta,mollepata,,
UCHUY WAMPAQASA,-13.974295859315813,-73.93619913099171,SITIO ARQUEOLOGICO,site,5.14,INGEMMET,,,,,ZA000727
CAMINO PREHISPÁNICO SUB TRAMO MOLLEPATA-SALKANTAY,-13.394397101333333,-72.57340794603508,PAISAJE ARQUEOLOGICO,pathway,5.14,INGEMMET,,,,,ZA009992
OLLANTAYTAMBO,-13.242524817758907,-72.27288892365033,PARQUE ARQUEOLOGICO,monumental,5.18,INGEMMET,,,,,ZA000022
Pampa Media Luna 5,-14.6488593409999,-75.3042918749999,Sitio Arqueologico,site,5.2,INC_GeoGPSPeru,ica,nazca,changuillo,,
Ingenio 2,-14.676860497,-75.1473241739999,Sitio Arqueologico,site,5.21,INC_GeoGPSPeru,ica,nasca,changuillo,,
San Jose,-14.666764426428575,-75.12584462928574,Sitio Arqueologico,site,5.25,MinCultura_BIP,,,,110303,
"GEOGLIFOS DE BOGOTALLA - TULIN, SECTORES A, B, C Y D",-14.633364903049175,-75.0574477304918,PAISAJE ARQUEOLOGICO,landscape,5.26,INGEMMET,,,,,ZA010844
Qatun Orqo Pata 1,-13.9757480659999,-73.9416384759999,Sitio Arqueologico,site,5.27,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
NN,-13.321026065,-72.6369528439999,Sitio Arqueologico,site,5.27,INC_GeoGPSPeru,cusco,la convencion,santa teresa,,
Qasamachay,-14.027950991,-74.0468866229999,Sitio Arqueologico,site,5.28,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Pampa Media Luna 6,-14.648387543,-75.3055541759999,Sitio Arqueologico,site,5.3,INC_GeoGPSPeru,ica,nazca,changuillo,,
Qatun Orqo Pata 2,-13.9749504619999,-73.9411699869999,Sitio Arqueologico,site,5.32,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
Wampaqasa 1,-13.9729249199999,-73.9369208359999,Sitio Arqueologico,site,5.32,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
Pallqa 7,-13.983686331,-73.9588502649999,Sitio Arqueologico,site,5.33,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
"GEOGLIFOS DE BOGOTALLA - TULIN, SECTORES A, B, C Y D",-14.640484153857146,-75.06960217557143,PAISAJE ARQUEOLOGICO,landscape,5.38,INGEMMET,,,,,ZA010844
Estructuras funerarias,-13.721223387,-73.4345017549999,Sitio Arqueologico,site,5.4,INC_GeoGPSPeru,apurimac,andahuaylas,talavera,,
Camino Huancaray - Cerro Toracca,-13.7638558659999,-73.5199083509999,Sitio Arqueologico,pathway,5.41,INC_GeoGPSPeru,apurimac,andahuaylas,huancaray,,
Pampa Media Luna 7,-14.6461461839999,-75.3048917439999,Sitio Arqueologico,site,5.49,INC_GeoGPSPeru,ica,nazca,changuillo,,
Pallqa 4,-13.9815229889999,-73.9582397099999,Sitio Arqueologico,site,5.51,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
Huamanillo,-14.2171657129999,-74.2080665479999,Sitio Arqueologico,site,5.52,INC_GeoGPSPeru,ayacucho,lucanas,aucara,,
Chutas,-14.3568997219999,-74.7163576799999,Sitio Arqueologico,site,5.52,INC_GeoGPSPeru,ayacucho,lucanas,ocaña,,
Teqllo,-13.776083835,-73.5483351629999,Sitio Arqueologico,site,5.61,INC_GeoGPSPeru,apurimac,andahuaylas,huancaray,,
Pallqa 5,-13.9810479709999,-73.9592046719999,Sitio Arqueologico,site,5.61,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
NN,-13.0180394239999,-71.8230374909999,Sitio Arqueologico,site,5.63,INC_GeoGPSPeru,cusco,paucartambo,challabamba,,
Pampa Media Luna 14,-14.6403350169999,-75.2960619489999,Sitio Arqueologico,site,5.64,INC_GeoGPSPeru,ica,nazca,changuillo,,
El Ushno,-13.8728185549999,-73.7430503099999,Sitio Arqueologico,site,5.66,INC_GeoGPSPeru,ayacucho,sucre,chalcos,,
Pampa Media Luna 8,-14.6441027579999,-75.3049724969999,Sitio Arqueologico,site,5.7,INC_GeoGPSPeru,ica,nazca,changuillo,,
MACHUCANCHA,-13.1418972589999,-72.2920106739999,Sitio Arqueologico,site,5.7,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
NN,-13.0132811889999,-71.811210678,Sitio Arqueologico,site,5.75,INC_GeoGPSPeru,cusco,paucartambo,challabamba,,
Pallqa 3,-13.9788926379999,-73.9583533789999,Sitio Arqueologico,site,5.78,INC_GeoGPSPeru,ayacucho,víctor fajardo,canaria,,
Jamana,-13.7680846199999,-73.5377768749999,Sitio Arqueologico,site,5.87,INC_GeoGPSPeru,apurimac,andahuaylas,huancaray,,
T'ASTAYOQ,-13.1379335239999,-72.2879155439999,Sitio Arqueologico,site,5.88,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Geoglífos de Llipata,-14.594817020769227,-75.20814151666666,Paisaje Arqueológico,landscape,5.89,MinCultura_BIP,,,,110402,
Pampa Media Luna 9,-14.642365466,-75.3060194319999,Sitio Arqueologico,site,5.92,INC_GeoGPSPeru,ica,nazca,changuillo,,
Terrazas 1,-13.9254370069999,-73.8540608639999,Sitio Arqueologico,site,5.93,INC_GeoGPSPeru,ayacucho,vilcashuaman,independencia,,
Sonaje 02,-13.8674419259999,-73.7382215479999,Sitio Arqueologico,site,5.95,INC_GeoGPSPeru,ayacucho,sucre,chalcos,,
Camino Huancaray - Cerro Sirena - Toracca,-13.7626614249999,-73.5287568509999,Sitio Arqueologico,pathway,5.96,INC_GeoGPSPeru,apurimac,andahuaylas,huancaray,,
