name,lat,lon,type,classification,gc_distance_km,source,department,province,district,ubigeo,code
Cerro Shugul 2.,-8.17392916399996,-78.088290518,Sitio Arqueologico,site,784.83,INC_GeoGPSPeru,la libertad,santiago de chuco,santa cruz de chuca,,
NN63,-8.49199771699996,-78.7423748659999,Sitio Arqueologico,site,784.87,INC_GeoGPSPeru,la libertad,viru,viru,,
Purinaco (Sector A),-8.172668801666667,-78.08735463166666,Sitio Arqueologico,site,784.91,MinCultura_BIP,,,,131002,
Polig N 40,-8.481549192,-78.722414516,Sitio Arqueologico,site,784.94,MinCultura_BIP,,,,131201,
Compositan V-05,-8.522922258666668,-78.81042982,Sitio Arqueologico,site,785.07,MinCultura_BIP,,,,131201,
Polig N 34,-8.48705672,-78.73690788333333,Sitio Arqueologico,site,785.09,MinCultura_BIP,,,,131201,
Cerro Shugul 1.,-8.17090231999992,-78.0894911899999,Sitio Arqueologico,site,785.19,INC_GeoGPSPeru,la libertad,santiago de chuco,santa cruz de chuca,,
COMPOSITAN V-01,-8.526164546927983,-78.82020653794739,SITIO ARQUEOLOGICO,site,785.22,INGEMMET,,,,,ZA002293
Polig N 38,-8.467411918333335,-78.70055918166666,Sitio Arqueologico,site,785.3,MinCultura_BIP,,,,131201,
Purinaco (Sector B),-8.169403447142857,-78.0906729542857,Sitio Arqueologico,site,785.39,MinCultura_BIP,,,,131002,
Compositan V-06,-8.520293415555555,-78.81196979999999,Sitio Arqueologico,site,785.41,MinCultura_BIP,,,,131201,
Compositan V-08,-8.522128987333335,-78.81583769633335,Sitio Arqueologico,site,785.41,MinCultura_BIP,,,,131201,
 Huaracalda.,-8.17021285999994,-78.0966319169999,Sitio Arqueologico,site,785.6,INC_GeoGPSPeru,la libertad,santiago de chuco,santa cruz de chuca,,
Alto del Cóndor 1,-8.059591943333333,-77.87464186666666,Zona Arqueologica,other,785.79,MinCultura_BIP,,,,131008,
Alto del Cóndor 2,-8.060631576,-77.87836332399999,Zona Arqueologica,other,785.87,MinCultura_BIP,,,,131008,
Compositan V-09,-8.519207163999999,-78.820481452,Sitio Arqueologico,site,785.93,MinCultura_BIP,,,,131201,
Compositan V-10,-8.516883645714286,-78.81721188000002,Sitio Arqueologico,site,786.0,MinCultura_BIP,,,,131201,
Mullo,-8.107003965,-77.97685794875,Sitio Arqueologico,site,786.06,MinCultura_BIP,,,,131004,
Cueva Negra,-8.073013842,-77.90880717799999,Sitio Arqueologico,site,786.12,MinCultura_BIP,,,,131008,
Pampamarca,-8.126925512000001,-78.019433952,Sitio Arqueologico,site,786.15,MinCultura_BIP,,,,131002,
Callayda,-8.11116212375,-77.99359303625,Zona Arqueologica,other,786.46,MinCultura_BIP,,,,131004,
Polig N 33,-8.471267256,-78.741720962,Sitio Arqueologico,site,786.9,MinCultura_BIP,,,,131201,
Polig N 41,-8.45891721,-78.716193138,Sitio Arqueologico,site,786.9,MinCultura_BIP,,,,131201,
Tres Altos del Tambo,-8.126575116923076,-78.03964002000001,Sitio Arqueologico,site,787.17,MinCultura_BIP,,,,131002,
Cerro Tres Altos del Tambo Alto,-8.124922561111113,-78.03786626666667,Sitio Arqueologico,site,787.25,MinCultura_BIP,,,,131002,
Angasmarca,-8.135210834285713,-78.06118995214284,Sitio Arqueologico,site,787.36,MinCultura_BIP,,,,131002,
Cerro Campana,-8.162196595333333,-78.11922718066667,Sitio Arqueologico,site,787.5,MinCultura_BIP,,,,131007,
Totorapampa Alto,-8.12252133,-78.03821110666667,Sitio Arqueologico,site,787.51,MinCultura_BIP,,,,131002,
Sitio N° 44,-8.442286018571428,-78.69664622999998,Sitio Arqueologico,site,787.62,MinCultura_BIP,,,,131201,
Cerro El Tocón,-8.2724197675,-78.35041437375,Zona Arqueologica,other,787.77,MinCultura_BIP,,,,130504,
Cerro Cashan,-8.15125243375,-78.10697300125,Sitio Arqueologico,site,788.0,MinCultura_BIP,,,,131007,
Cerro Cashan Este.,-8.15011440199993,-78.1058618599999,Sitio Arqueologico,site,788.06,INC_GeoGPSPeru,la libertad,santiago de chuco,santa cruz de chuca,,
Cerro Compositan B,-8.47476682299993,-78.773251995,Sitio Arqueologico,site,788.08,INC_GeoGPSPeru,la libertad,virú,virú,,
Tambo de Tulpo,-8.10234359799996,-78.0086630509999,Sitio Arqueologico,site,788.08,INC_GeoGPSPeru,la libertad,santiago de chuco,angasmarca,,
Pampa La Cruz de la Legua,-8.41933389625,-78.65931366125,Sitio Arqueologico,site,788.1,MinCultura_BIP,,,,131201,
VV.93-2:13,-8.496897851666667,-78.82269104333334,Sitio Arqueologico,site,788.26,MinCultura_BIP,,,,131201,
San Felipe,-8.280020941428571,-78.37650780714286,Zona Arqueologica,other,788.28,MinCultura_BIP,,,,130504,
Polig N 37,-8.471580462,-78.774219752,Sitio Arqueologico,site,788.45,MinCultura_BIP,,,,131201,
Polig N 31,-8.483820374,-78.80320171000001,Sitio Arqueologico,site,788.63,MinCultura_BIP,,,,131201,
Cerro Tres Altos,-8.125594282857143,-78.07629128571428,Sitio Arqueologico,site,789.06,MinCultura_BIP,,,,131002,
Polig N 29,-8.469242468333332,-78.782706405,Sitio Arqueologico,site,789.09,MinCultura_BIP,,,,131201,
VV.93-3:24,-8.498732407142857,-78.84554646857143,Sitio Arqueologico,site,789.18,MinCultura_BIP,,,,131201,
VV.106-2-2,-8.4515214575,-78.74973610250001,Sitio Arqueologico,site,789.26,MinCultura_BIP,,,,131201,
Ruinas de Ucumal,-8.08821175999993,-78.0045161389999,Sitio Arqueologico,site,789.28,INC_GeoGPSPeru,la libertad,santiago de chuco,angasmarca,,
Cerro Calvario,-8.123573884285715,-78.07927443142856,Sitio Arqueologico,site,789.41,MinCultura_BIP,,,,131002,
VV.93-3:23,-8.495918685714285,-78.84513518285713,Sitio Arqueologico,site,789.45,MinCultura_BIP,,,,131201,
Polig N 45,-8.437271771666666,-78.72418753333334,Sitio Arqueologico,site,789.45,MinCultura_BIP,,,,131201,
VV.93-2:15,-8.48925417125,-78.83215630125001,Sitio Arqueologico,site,789.48,MinCultura_BIP,,,,131201,
Cerro Bitín,-8.45349080899996,-78.7592214599999,Sitio Arqueologico,site,789.53,INC_GeoGPSPeru,la libertad,virú,virú,,
Cerro Paibal.,-8.13090455299994,-78.0978675039999,Sitio Arqueologico,site,789.58,INC_GeoGPSPeru,la libertad,santiago de chuco,santa cruz de chuca,,
VV.93-2:6,-8.490226954,-78.838908728,Sitio Arqueologico,site,789.71,MinCultura_BIP,,,,131201,
Cerro Tamburco,-7.85935395499996,-77.5480119059999,Sitio Arqueologico,site,789.74,INC_GeoGPSPeru,la libertad,pataz,pias,,
Ruinas de Cerro Rosaganda,-8.08429890599996,-78.008034844,Sitio Arqueologico,site,789.85,INC_GeoGPSPeru,la libertad,santiago de chuco,angasmarca,,
NN16,-7.86094225499993,-77.5543202029999,Sitio Arqueologico,site,789.89,INC_GeoGPSPeru,la libertad,pataz,pias,,
VV.93-2:2,-8.489812604,-78.84315811900001,Sitio Arqueologico,site,789.96,MinCultura_BIP,,,,131201,
HUACA BITIN 2,-8.444419549897505,-78.75040333977843,SITIO ARQUEOLOGICO,monumental,790.01,INGEMMET,,,,,ZA002907
HUACA CEMENTERIO,-8.44139123958824,-78.7450514775294,SITIO ARQUEOLOGICO,monumental,790.05,INGEMMET,,,,,ZA002908
HUACA BITIN 1,-8.444548109313018,-78.7521669749667,SITIO ARQUEOLOGICO,monumental,790.08,INGEMMET,,,,,ZA002906
VV.93-2:4,-8.488008540000001,-78.84216857444443,Sitio Arqueologico,site,790.09,MinCultura_BIP,,,,131201,
VV.93-3:4,-8.49006812,-78.84691878199999,Sitio Arqueologico,site,790.12,MinCultura_BIP,,,,131201,
VV.93-2:5,-8.486751841428571,-78.84232705142858,Sitio Arqueologico,site,790.22,MinCultura_BIP,,,,131201,
Huacas Corral,-8.184822613333331,-78.22218024888889,Sitio Arqueologico,monumental,790.26,MinCultura_BIP,,,,131001,
Cancaralda,-8.17458980799995,-78.2016238299999,Sitio Arqueologico,site,790.28,INC_GeoGPSPeru,la libertad,santiago de chuco,santiago de chuco,,
VV.106-3-7,-8.451498019999999,-78.77136229571428,Sitio Arqueologico,site,790.31,MinCultura_BIP,,,,131201,
VV.106-3:3,-8.444535855,-78.75686687100001,Sitio Arqueologico,site,790.31,MinCultura_BIP,,,,131201,
